stock,date,score1,score1_true,score2,score2_ture,corr1,corr2,pred_rate,true_rate,average_corr,name
'600630,2023-12-29,29.663034,29.939999,31.2655,28.39,0.0093370421919753,0.0919703826901856,0.0540223228682541,-0.0517701754098254,0.0022521474584286,龙头股份
'603729,2023-12-29,46.296417,46.55,48.056656,44.94,0.0054773785193787,0.0648537842499902,0.0380210632714838,-0.0345864661654135,0.0034345971060702,龙韵股份
'000056,2023-12-29,13.1136265,13.07,13.538104,12.93,0.0033268066617575,0.0449179589697346,0.0323691924579367,-0.0107115531752104,0.0216576392827263,皇庭国际
'002771,2023-12-29,74.7361,75.36,77.03827,71.409996,0.0083480406389951,0.0730581566797903,0.0308039889691862,-0.0524151273885349,0.0216111384193486,真视通
'002786,2023-12-29,47.858368,48.0,49.22867,46.23,0.0029593988662547,0.0609130817468764,0.0286324431288589,-0.036875,0.0082425568711411,银宝山新
'002855,2023-12-29,37.03066,37.73,38.081093,36.71,0.0188854316936289,0.0360045600581895,0.0283665751569106,-0.0270341902994963,0.0013323848574143,捷荣技术
'300135,2023-12-29,40.69977,40.35,41.821663,39.77,0.0085939060589285,0.049057422704592,0.027565094348199,-0.0143742255266418,0.0131908688215571,宝利国际
'300781,2023-12-29,58.978504,59.6,60.56929,55.68,0.0105376697923704,0.0807222604062224,0.0269723016372202,-0.0657718120805369,0.0387995104433166,因赛集团
'002238,2023-12-29,43.453815,43.21,44.56997,39.170002,0.0056108997564425,0.1211570929933316,0.025686007085914,-0.0934968294376302,0.0678108223517162,天威视讯
'002888,2023-12-29,46.077957,46.36,47.254513,43.09,0.0061209962064941,0.0881294237441405,0.025534031380775,-0.0705349439171698,0.0450009125363947,惠威科技
'300536,2023-12-29,71.61081,71.66,73.348694,71.91,0.0006869074655068,0.0196144460322633,0.0242684589100443,0.0034886966229416,0.027757155532986,农尚环境
'002856,2023-12-29,18.17647,18.16,18.612474,17.79,0.0009061165341784,0.0441893968528847,0.0239872758571934,-0.0203744493392071,0.0036128265179863,美芝股份
'000609,2023-12-29,33.794952,34.56,34.566853,33.32,0.022637937168841,0.0360707698788779,0.0228407189334075,-0.0358796296296296,0.0130389106962221,中迪投资
'603556,2023-12-29,41.811424,41.54,42.765545,41.6,0.0064916229593137,0.0272543001614968,0.0228196246078583,0.0014443909484834,0.0242640155563418,海兴电力
'300654,2023-12-29,37.768883,38.84,38.625175,38.05,0.0283597743676984,0.0148911946677264,0.0226718910379212,-0.0203398558187437,0.0023320352191775,世纪天鸿
'603322,2023-12-29,74.87876,74.13,76.54655,74.76,0.0099996314041525,0.023339392826979,0.0222732053789351,0.0084985835694052,0.0307717889483404,超讯通信
'601127,2023-12-29,76.68314,78.16,78.36904,72.68,0.0192592530770127,0.072592952523088,0.0219852760332975,-0.070112589559877,0.0481273135265794,小康股份
'002103,2023-12-29,17.837763,18.36,18.228569,18.52,0.0292770455577866,0.015987596173896,0.0219089131299704,0.008714596949891,0.0306235100798615,广博股份
'300063,2023-12-29,52.36761,53.37,53.500477,52.02,0.0191414120293058,0.0276722205673043,0.0216329712201873,-0.0252951096121415,0.0036621383919541,天龙集团
'000903,2023-12-29,24.540722,24.74,25.05784,24.39,0.0081202989871284,0.0266519380760671,0.0210718331758943,-0.0141471301535973,0.006924703022297,云内动力
'002712,2023-12-29,30.586683,30.460001,31.22336,29.949999,0.0041417371082703,0.0407823181105429,0.0208154967310446,-0.0167433349723133,0.0040721617587312,思美传媒
'002647,2023-12-29,23.250368,23.35,23.729414,23.18,0.0042851794861913,0.0231532898368244,0.0206038029161515,-0.0072805139186296,0.0133232889975219,仁东控股
'600250,2023-12-29,24.028578,23.85,24.521982,23.91,0.0074319004645217,0.0249564655907504,0.0205340490810568,0.0025157232704401,0.023049772351497,南纺股份
'002931,2023-12-29,34.560116,35.399998,35.26287,34.57,0.0243020596342904,0.0196487126544152,0.0203342488780997,-0.0234462725110887,0.0031120236329889,锋龙股份
'600228,2023-12-29,12.426201,12.9,12.676494,12.79,0.038129030747209,0.0089540530686165,0.0201423588754116,-0.0085271317829458,0.0116152270924658,ST昌九
'300031,2023-12-29,119.40278,123.79,121.79797,117.01,0.036743030606155,0.0393107537013958,0.0200597507026218,-0.0547701752968737,0.0347104245942519,宝通科技
'300419,2023-12-29,44.564793,46.11,45.44779,46.34,0.0346732677519672,0.019631537639124,0.0198137799046883,0.004988072001735,0.0248018519064234,浩丰科技
'002316,2023-12-29,17.27277,17.65,17.611387,17.59,0.021839577554729,0.0012143847614046,0.0196040936109262,-0.0033994334277619,0.0162046601831643,亚联发展
'300461,2023-12-29,47.838253,46.87,48.761898,45.5,0.0202401412944574,0.0668944018544971,0.0193076657711559,-0.0292297845103477,0.0099221187391917,田中精机
'002952,2023-12-29,93.839836,94.51,95.603615,99.14,0.0071415725833109,0.0369900761597769,0.0187956317400213,0.048989524917998,0.0677851566580194,亚世光电
'603006,2023-12-29,29.639215,29.3,30.19294,29.42,0.0114448037844456,0.0256000243765595,0.0186821749496402,0.0040955631399317,0.0227777380895719,联明股份
