stock,date,score1,score1_true,score2,score2_ture,corr1,corr2,pred_rate,true_rate,average_corr,name
'300799,2024-01-15,43.882153,40.24,51.3911,48.420002,0.08299850283098,0.0578134735391926,0.1711161938658752,0.2032803677932404,0.3743965616591156,左江科技
'603985,2024-01-15,95.10506,94.95,99.06455,94.01,0.0016304074672787,0.0510227927144472,0.0416328006101883,-0.0098999473407056,0.0317328532694827,恒润股份
'603023,2024-01-15,30.610384,28.85,31.61623,30.0,0.0575093732897959,0.0511202632318907,0.032859633515215,0.0398613518197573,0.0727209853349723,威帝股份
'603266,2024-01-15,48.059475,48.29,49.626637,48.44,0.004796660804139,0.0239112918330533,0.032608803987143,0.0031062331745702,0.0357150371617133,天龙股份
'600520,2024-01-15,41.73688,41.679996,42.982956,41.03,0.0013629193173997,0.0454355907955702,0.0298555138764565,-0.0155949151242721,0.0142605987521844,文一科技
'300699,2024-01-15,58.77298,59.43,60.525425,59.43,0.011178946515899,0.0180985924510236,0.0298171881024239,0.0,0.0298171881024239,光威复材
'300745,2024-01-15,23.528929,23.77,24.202852,23.16,0.0102457277167183,0.043087979879396,0.0286423151687014,-0.0256625999158603,0.0029797152528411,欣锐科技
'002858,2024-01-15,32.316105,32.62,33.23487,32.3,0.0094038251206324,0.0281291908167537,0.0284305611706609,-0.0098099325567136,0.0186206286139472,力盛赛车
'603286,2024-01-15,23.207386,23.33,23.866076,23.130001,0.0052834041714133,0.0308418945787317,0.0283827743460637,-0.0085726103729103,0.0198101639731534,日盈电子
'300553,2024-01-15,39.649925,39.8,40.724144,40.05,0.003785000854352,0.0165539145525073,0.0270925859254462,0.0062814070351758,0.0333739929606221,集智股份
'000005,2024-01-15,3.387245,3.4900014,3.4784124,3.220001,0.0303362762362923,0.0742900410543614,0.026914911676008,-0.0773639804270566,0.0504490687510486,世纪星源
'603779,2024-01-15,13.351565,13.36,13.709383,13.25,0.0006317611456034,0.033508656078833,0.0267997047537123,-0.0082335329341316,0.0185661718195806,ST威龙
'002915,2024-01-15,32.73058,32.92,33.586178,32.69,0.005787248499721,0.0266829408216677,0.0261406305662775,-0.0069866342648846,0.0191539963013928,中欣氟材
'600189,2024-01-15,15.922388,16.04,16.336697,16.23,0.0073865804551427,0.0065311243759984,0.0260205315936278,0.0118453865336659,0.0378659181272937,吉林森工
'002009,2024-01-15,49.4568,50.03,50.741547,49.84,0.0115899128127982,0.0177674322779318,0.0259771558208374,-0.0037977213671796,0.0221794344536578,天奇股份
'300096,2024-01-15,21.52561,21.980001,22.083735,22.43,0.0211093204791874,0.0156796393363712,0.0259284173596009,0.0204731109884844,0.0464015283480853,易联众
