stock,date,score1,score1_true,score2,score2_ture,corr1,corr2,pred_rate,true_rate,average_corr,name
'300799,2023-12-27,35.74934,44.669994,38.875683,43.569996,0.2495333899870601,0.1207519106481036,0.0874517683403387,-0.0246249865177953,0.0628267818225434,左江科技
'002517,2023-12-27,62.887264,62.039997,64.507996,62.94,0.0134727915655545,0.0243070021893101,0.0257720227739595,0.0145068188833084,0.0402788416572679,恺英网络
'300315,2023-12-27,61.000546,59.23,62.56341,59.72,0.0290250844639981,0.0454484498207498,0.0256204919870716,0.0082728347121391,0.0338933266992108,掌趣科技
'603603,2023-12-27,1.8489213,1.8899999,1.8891892,1.81,0.0222176033128073,0.0419170298030498,0.0217791314319327,-0.0423279916575657,0.0205488602256329,博天环境
'603721,2023-12-27,36.66531,37.15,37.445362,36.56,0.0132193072961881,0.0236441031068146,0.0212749326270527,-0.0158815612382233,0.0053933713888294,中广天择
'002740,2023-12-27,2.8696678,2.839999,2.9276989,2.72,0.010338757677805,0.0709427120391376,0.0202222361766055,-0.0422531838919661,0.0220309477153606,爱迪尔
'002919,2023-12-27,70.56981,69.23,71.95586,67.92,0.0189855973822233,0.0560879961687623,0.0196408350823106,-0.0189224324714719,0.0007184026108387,名臣健康
'300031,2023-12-27,115.01924,110.35,117.11911,110.770004,0.0405952951871356,0.0542106749274307,0.0182566847077063,0.0038061078386951,0.0220627925464014,宝通科技
'600592,2023-12-27,25.957167,25.83,26.377317,26.77,0.0048991093673666,0.0148871471651191,0.0161862810375262,0.0363917924893535,0.0525780735268798,龙溪股份
'002180,2023-12-27,105.50398,105.15,107.135925,108.09,0.0033551340906759,0.0089052761713683,0.0154680894502747,0.0279600570613409,0.0434281465116157,纳思达
'300269,2023-12-27,19.94234,20.03,20.221516,20.79,0.0043956727244646,0.0281128279402987,0.0139991595770606,0.0379430853719419,0.0519422449490026,联建光电
'300432,2023-12-27,81.10838,80.87,82.216225,83.78,0.0029390304676285,0.0190202724583864,0.013658822923106,0.0359836775071101,0.0496425004302161,富临精工
'603863,2023-12-27,32.56656,32.91,33.011097,31.499998,0.010545786843928,0.0457754857404465,0.0136501061211253,-0.0428441810999694,0.029194074978844,松炀资源
'603888,2023-12-27,65.41962,64.5,66.31242,65.75,0.0140572507146937,0.0084813674421775,0.0136472819622004,0.0193798449612403,0.0330271269234407,新华网
'600199,2023-12-27,71.162994,71.07,72.13393,73.350006,0.0013067746980966,0.0168585851346237,0.013643832916867,0.0320811312790206,0.0457249641958876,金种子酒
'002555,2023-12-27,230.20596,229.45,233.17883,233.01,0.0032838419995729,0.0007240365688429,0.0129139575708639,0.0155153628241447,0.0284293203950086,三七互娱
'002931,2023-12-27,33.94905,32.51,34.3788,33.16,0.0423885204446074,0.0354520809335986,0.0126586752795733,0.0199938480467548,0.0326525233263281,锋龙股份
'601900,2023-12-27,14.5599985,14.57,14.74192,14.66,0.0006869162795586,0.005556942379283,0.0124946098037029,0.0061770761839395,0.0186716859876425,南方传媒
'002536,2023-12-27,68.00818,67.8,68.848206,68.34,0.0030611023556283,0.0073815431007744,0.0123518376759973,0.0079646017699115,0.0203164394459089,飞龙股份
'300053,2023-12-27,59.028034,58.97,59.749245,60.27,0.0009831599676858,0.0087156749846797,0.0122181097883084,0.0220451076818722,0.0342632174701806,欧比特
'002494,2023-12-27,15.586484,14.5,15.776547,14.19,0.069706804947158,0.1005636404467974,0.0121940907262985,-0.0213793103448276,0.009185219618529,华斯股份
'300657,2023-12-27,65.79698,65.15,66.58435,64.34,0.0098329740969874,0.0337068695571856,0.0119666586521143,-0.012432847275518,0.0004661886234037,弘信电子
'300553,2023-12-27,45.369934,44.95,45.911354,45.28,0.0092557771849524,0.01375158746135,0.0119334535509794,0.00734149054505,0.0192749440960294,集智股份
'002708,2023-12-27,22.917303,25.2,23.184055,25.66,0.0996058305813733,0.1067951659017371,0.0116397640682239,0.0182539682539682,0.0298937323221922,光洋股份
'600200,2023-12-27,61.410347,61.14,62.122253,61.7,0.0044023037355578,0.0067971295245843,0.0115926066986724,0.00915930650965,0.0207519132083224,江苏吴中
'000962,2023-12-27,27.575304,27.81,27.891422,29.02,0.0085110938396182,0.0404632650138813,0.0114638083409705,0.0435095289464221,0.0549733372873927,东方钽业
'600072,2023-12-27,63.53356,63.429996,64.25397,64.229996,0.0016300676366946,0.0003731131321534,0.0113390466392878,0.0126123293465129,0.0239513759858007,中船科技
