stock,date,score1,score1_true,score2,score2_ture,corr1,corr2,pred_rate,true_rate,average_corr,name
'300096,2024-01-11,21.384014,21.779999,21.895,21.730001,0.0185178049359675,0.0075359214432517,0.0238957007790959,-0.0022955923919004,0.0216001083871955,易联众
'002740,2024-01-11,1.8220907,1.8799998,1.85982,1.8200003,0.0317816780470917,0.0214105128453291,0.0207065981951392,-0.0319146310547479,0.0112080328596086,爱迪尔
'002189,2024-01-11,17.757362,17.84,18.116165,17.44,0.0046537317874129,0.037323848618071,0.0202058729218899,-0.022421524663677,0.002215651741787,中光学
'000715,2024-01-11,47.789284,45.81,48.683548,38.49,0.0414169000732465,0.2093838353769943,0.0187126469607705,-0.1597904387688277,0.1410777918080572,中兴商业
'600615,2024-01-11,767.8591,767.77997,781.79877,776.32996,0.000103052760591,0.0069951632182792,0.0181539425657649,0.0111359899112762,0.0292899324770412,丰华股份
'603603,2024-01-11,1.1987996,1.2499995,1.2182355,1.2999997,0.0427093068766454,0.0671169080198369,0.0162128015391396,0.0400001760000705,0.0562129775392101,博天环境
'600099,2024-01-11,21.364565,21.62,21.70082,21.44,0.0119560122099374,0.0120189006682696,0.0157389116043318,-0.0083256244218316,0.0074132871825001,林海股份
'603665,2024-01-11,32.551174,32.41,33.05273,33.82,0.0043369864325018,0.0232135136795055,0.0154082307446113,0.0435050910212898,0.0589133217659011,康隆达
'002719,2024-01-11,19.678194,19.96,19.972805,19.44,0.0143207247575666,0.0266765234026968,0.0149714450421618,-0.0260521042084168,0.0110806591662549,麦趣尔
'002292,2024-01-11,64.102325,63.870003,65.06202,61.56,0.0036242367184029,0.0538258726058613,0.0149712978429411,-0.036167259926385,0.0211959620834439,奥飞娱乐
'603332,2024-01-11,22.7095,22.58,23.043348,21.58,0.0057024593231907,0.0635041401101959,0.014700808031881,-0.0442869796279893,0.0295861715961082,苏州龙杰
'600605,2024-01-11,905.27277,904.39,918.10095,894.98004,0.0009751425528904,0.0251834071187923,0.0141705134906465,-0.0104047590088346,0.0037657544818119,汇通能源
'000032,2024-01-11,49.165516,49.99,49.839497,47.920002,0.0167695585662114,0.0385135307445017,0.0137084089588321,-0.0414082416483297,0.0276998326894976,深桑达Ａ
'300783,2024-01-11,19.63354,20.1,19.888489,19.76,0.0237583237663712,0.0064604706772846,0.0129853811386026,-0.0169154228855721,0.0039300417469695,三只松鼠
'300624,2024-01-11,136.2847,136.8,137.97821,129.49,0.003781055393599,0.0615184817950601,0.0124262664847925,-0.0534356725146198,0.0410094060298273,万兴科技
'002235,2024-01-11,30.923794,30.75,31.291498,30.0,0.0056200736559039,0.0412731279275923,0.011890649640209,-0.024390243902439,0.0124995942622299,安妮股份
'603003,2024-01-11,10.570673,10.71,10.693377,10.36,0.0131805231322548,0.0311760260579983,0.0116079647908889,-0.0326797385620916,0.0210717737712026,龙宇燃油
'600608,2024-01-11,438.0156,432.99,443.0976,441.33,0.0114735639552563,0.0039891888378542,0.011602326492481,0.019261414813275,0.0308637413057561,ST沪科
'000838,2024-01-11,36.878048,36.97,37.289036,37.239998,0.0024934074601779,0.001315078244447,0.0111445161088787,0.0073031647281579,0.0184476808370367,财信发展
'603628,2024-01-11,23.68786,23.09,23.946508,26.14,0.0252390887146412,0.0915996603763688,0.010919010835086,0.1320918146383716,0.1430108254734576,清源股份
'603085,2024-01-11,27.985226,27.52,28.276798,25.94,0.0166239858130858,0.0826401207095654,0.0104187831107741,-0.0574127906976743,0.0469940075869001,天成自控
'603721,2024-01-11,35.067974,34.59,35.433266,33.84,0.0136299291199427,0.0449652594824309,0.0104166838951119,-0.0216825672159583,0.0112658833208464,中广天择
'601858,2024-01-11,23.780598,23.83,24.02217,23.2,0.0020774078095091,0.0342254675576769,0.0101583652353905,-0.0264372639530003,0.0162788987176098,中国科传
'603728,2024-01-11,71.331055,71.68,72.04872,70.68,0.0048919085803511,0.0189971452650372,0.0100610456413408,-0.0139508928571428,0.0038898472158019,鸣志电器
'600128,2024-01-11,20.176617,20.16,20.377003,19.64,0.0008235771140424,0.0361683707854387,0.009931595569267,-0.0257936507936507,0.0158620552243837,弘业股份
'000810,2024-01-11,72.80823,72.07,73.528145,69.76,0.0101393757271671,0.0512476548945983,0.009887824494566,-0.0320521714999304,0.0221643470053643,创维数字
'600156,2024-01-11,5.616788,5.6800003,5.670446,5.52,0.0112541723134289,0.0265315991017285,0.0095531467450792,-0.0281690654136057,0.0186159186685264,华升股份
'300210,2024-01-11,52.603355,52.92,53.094883,52.92,0.0060194829778443,0.0032937825665799,0.0093440427896662,0.0,0.0093440427896662,森远股份
'603959,2024-01-11,17.550138,17.51,17.712156,17.2,0.0022870475434437,0.0289155086484107,0.0092317222804743,-0.0177041690462594,0.008472446765785,百利科技
'600155,2024-01-11,16.738663,16.85,16.890314,16.37,0.0066514870393174,0.0308054663755806,0.0090599231252819,-0.028486646884273,0.019426723758991,华创阳安
'002095,2024-01-11,78.024635,78.31,78.73059,76.76,0.0036573705215025,0.0250295342636197,0.0090478475163645,-0.0197931298684714,0.0107452823521068,生 意 宝
'603595,2024-01-11,52.41115,55.44,52.88346,55.539997,0.0577901839589476,0.0502337971078291,0.0090116320668407,0.0018036976911977,0.0108153297580384,东尼电子
'600136,2024-01-11,2.5253167,2.520001,2.5479589,2.520001,0.0021049637061362,0.0109726652184223,0.0089660833431307,0.0,0.0089660833431307,当代明诚
'300106,2024-01-11,13.586325,13.57,13.707841,13.55,0.0012015758492454,0.0115146506295192,0.0089439933168093,-0.0014738393515106,0.0074701539652986,西部牧业
'002647,2024-01-11,22.05089,21.95,22.244919,21.62,0.0045753255310783,0.0280926624187752,0.0087991459755139,-0.0150341685649201,0.0062350225894062,仁东控股
'000536,2024-01-11,17.322771,17.39,17.475054,16.93,0.0038809610771856,0.0311904043329422,0.0087909145713466,-0.0264519838987924,0.0176610693274458,华映科技
'300180,2024-01-11,28.930931,28.94,29.175745,28.47,0.0003134707279209,0.0241894422918763,0.0084620159648508,-0.0162404975812025,0.0077784816163517,华峰超纤
'300492,2024-01-11,145.98553,144.88,147.2069,147.26,0.0075728738320846,0.0003607167870527,0.0083663771334047,0.0164273881833241,0.0247937653167288,山鼎设计
'000889,2024-01-11,5.273903,5.25,5.3178825,5.299999,0.0045323169576686,0.0033628986725449,0.0083390801840685,0.0095236190476189,0.0178626992316875,中嘉博创
'300469,2024-01-11,42.955887,42.94,43.307953,41.19,0.0003698445337655,0.0489044818165384,0.0081959895275821,-0.0407545412203074,0.0325585516927253,信息发展
'002786,2024-01-11,48.57984,49.170002,48.97416,44.97,0.0121482903196058,0.0817606672579989,0.0081169472768951,-0.0854179749677455,0.0773010276908504,银宝山新
'000049,2024-01-11,173.83566,174.77,175.2448,173.66,0.0053748465648533,0.0090433496457526,0.0081061618772581,-0.0063512044401213,0.0017549574371367,德赛电池
'002174,2024-01-11,37.639732,37.08,37.93995,36.81,0.0148707753817164,0.0297825906465348,0.0079760929222344,-0.0072815533980581,0.0006945395241762,游族网络
'002445,2024-01-11,16.742823,16.85,16.876339,16.57,0.0064013697092778,0.0181519818960736,0.0079745213814898,-0.0166172106824926,0.0086426893010027,ST中南
'002129,2024-01-11,79.07932,80.06,79.70917,78.46,0.0124012194338546,0.0156715971324253,0.0079647877599352,-0.0199850112415689,0.0120202234816336,中环股份
'002232,2024-01-11,51.499687,50.79,51.904472,49.73,0.0137804138498939,0.0418937312376475,0.007859950682807,-0.0208702500492223,0.0130102993664153,启明信息
'002280,2024-01-11,34.88108,34.29,35.15458,33.92,0.0169455762264241,0.0351186104342592,0.0078409269437759,-0.0107903178769319,0.0029493909331559,联络互动
'300678,2024-01-11,74.72839,75.07,75.31267,72.54,0.0045713550097893,0.0368154521676099,0.0078187152165327,-0.0337018782469693,0.0258831630304365,中科信息
'002908,2024-01-11,35.00711,35.18,35.278187,33.95,0.0049387110218467,0.0376489585476713,0.007743484109371,-0.0349630471859009,0.0272195630765299,德生科技
'600336,2024-01-11,13.33145,13.38,13.433927,12.96,0.0036417643992214,0.0352783664821164,0.0076868607690836,-0.0313901345291479,0.0237032737600643,澳柯玛
'600329,2024-01-11,72.3078,71.61,72.86297,69.28999,0.0096504111589621,0.0490369799638966,0.0076778715435956,-0.0323978494623655,0.0247199779187699,中新药业
'300061,2024-01-11,30.31256,30.47,30.543331,29.3,0.0051938866265336,0.0407071186832895,0.007613048848398,-0.038398424680013,0.030785375831615,康旗股份
'300443,2024-01-11,100.09773,101.2,100.85836,100.32,0.0110119380329604,0.0053377826091958,0.0075988736208104,-0.0086956521739131,0.0010967785531026,金雷股份
'000815,2024-01-11,28.708817,28.23,28.926466,27.95,0.0166783953515047,0.0337568370778511,0.0075812597920702,-0.0099185263903649,0.0023372665982946,美利云
'300533,2024-01-11,68.31504,67.9,68.828865,65.97,0.0060753825219159,0.0415358440096316,0.0075214037787286,-0.0284241531664213,0.0209027493876926,冰川网络
'603127,2024-01-11,174.66196,172.51001,175.96848,167.54001,0.0123206564268487,0.0478976121178065,0.0074802779036717,-0.0288099223923295,0.0213296444886577,昭衍新药
'000727,2024-01-11,9.916837,10.04,9.990493,9.69,0.0124195849946913,0.0300778950548287,0.0074273682223476,-0.0348605577689242,0.0274331895465766,华东科技
'000712,2024-01-11,128.69707,128.45999,129.6477,126.27,0.0018421553808489,0.026052911081338,0.0073865706499766,-0.0170480318424437,0.0096614611924671,锦龙股份
'603099,2024-01-11,31.811758,29.26,32.044613,31.37,0.0802143031516837,0.021052306045949,0.0073197778003968,0.0721120984278878,0.0794318762282847,长白山
'601599,2024-01-11,12.614699,12.78,12.706446,12.57,0.0131038402105353,0.0107383291913411,0.0072730233198588,-0.016431924882629,0.0091589015627702,鹿港文化
'600986,2024-01-11,23.470633,23.5,23.64065,23.02,0.0012512231774916,0.0262535082580217,0.0072438182642965,-0.0204255319148936,0.013181713650597,科达股份
'002362,2024-01-11,49.435844,49.46,49.793503,45.4,0.0004886333082529,0.0882344630382803,0.007234811243437,-0.0820865345733926,0.0748517233299556,汉王科技
'300609,2024-01-11,26.677176,26.53,26.86951,26.0,0.0055169257795502,0.0323604710320358,0.0072096836636681,-0.0199773840934791,0.012767700429811,汇纳科技
'300779,2024-01-11,47.869747,47.95,48.21064,47.79,0.0016764868216246,0.0087250449278416,0.0071212617856534,-0.0033368091762253,0.0037844526094281,惠城环保
'002579,2024-01-11,38.24371,38.19,38.51424,37.72,0.0014044139546085,0.0206219829341044,0.0070738429927431,-0.0123068866195338,0.0052330436267907,中京电子
'002569,2024-01-11,11.481279,11.450001,11.562282,11.490001,0.0027242609468858,0.0062514475948606,0.0070552244222964,0.0034934494765545,0.0105486738988509,*ST步森
'300299,2024-01-11,44.801662,44.82,45.115322,43.47,0.0004093151722808,0.036469250956471,0.0070010795581645,-0.0301204819277108,0.0231194023695462,富春股份
'002238,2024-01-11,35.20199,36.1,35.447594,34.96,0.0255102055309941,0.013755348247331,0.0069769919257405,-0.031578947368421,0.0246019554426805,天威视讯
'000632,2024-01-11,40.64186,40.8,40.924717,39.44,0.0038910620724542,0.0362792246064891,0.0069597454447212,-0.0333333333333333,0.026373587888612,三木集团
'300213,2024-01-11,44.166935,43.71,44.474125,43.11,0.0103456352585933,0.0306723291351994,0.0069552030268796,-0.0137268359643102,0.0067716329374305,佳讯飞鸿
