stock,date,score1,score1_true,score2,score2_ture,corr1,corr2,pred_rate,true_rate,average_corr,name
'002178,2024-01-12,38.82967,39.77,39.813477,40.34,0.0242167909230236,0.013224742968317,0.0253364759473876,0.0143324113653507,0.0396688873127384,延华智能
'600769,2024-01-12,29.437616,28.9,30.15454,28.57,0.018262891940706,0.0525473112838067,0.0243540101888686,-0.0114186851211072,0.0129353250677614,祥龙电业
'002189,2024-01-12,17.311018,17.44,17.710938,17.16,0.0074508616419901,0.0311072174720502,0.0231020498043499,-0.0160550458715596,0.0070470039327902,中光学
'002906,2024-01-12,28.513037,29.07,29.036018,28.49,0.019533625969061,0.0188048512712728,0.0183418202697944,-0.0199518403852769,0.0016100201154825,华阳集团
'300545,2024-01-12,58.02312,58.71,58.955933,58.17,0.0118380397331271,0.0133308550981628,0.0160765743034845,-0.0091977516607051,0.0068788226427794,联得装备
'300793,2024-01-12,31.29949,31.2,31.802029,31.18,0.0031786460418364,0.019559412388436,0.0160558207178456,-0.0006410256410256,0.01541479507682,佳禾智能
'300056,2024-01-12,51.936626,51.56,52.75513,51.68,0.0072516454958008,0.0203796294312989,0.0157596683311696,0.0023273855702094,0.0180870539013791,三维丝
'603178,2024-01-12,35.82993,36.8,36.38892,36.99,0.0270742923583718,0.0165182148851904,0.0156012026816686,0.005163043478261,0.0207642461599296,圣龙股份
'603985,2024-01-12,95.10493,95.56,96.56214,94.95,0.0047849254502369,0.0166953632137812,0.0153221289369541,-0.0063834240267894,0.0089387049101647,恒润股份
'002068,2024-01-12,61.151634,60.88,62.087883,60.37,0.0044419745186203,0.0276685710157004,0.0153102859033986,-0.0083771353482261,0.0069331505551725,黑猫股份
'300212,2024-01-12,224.93442,221.1,228.28708,220.1,0.0170468352509144,0.0358630895800148,0.0149050554379361,-0.0045228403437358,0.0103822150942002,易华录
'300762,2024-01-12,52.17181,52.05,52.915936,52.58,0.0023347857779901,0.006348484509468,0.0142629899173519,0.0101825168107589,0.0244455067281108,上海瀚讯
'600399,2024-01-12,21.04749,21.1,21.340815,20.4,0.0024948343009072,0.0440852422927615,0.0139363411029058,-0.0331753554502371,0.0192390143473312,ST抚钢
'002729,2024-01-12,53.936634,54.08,54.646523,53.91,0.0026580449940572,0.0134779480846385,0.0131615369249776,-0.0031434911242603,0.0100180458007172,好利来
'002600,2024-01-12,24.024511,24.28,24.328815,24.28,0.0106345140594121,0.0020064684613696,0.0126663972473778,0.0,0.0126663972473778,领益智造
'002281,2024-01-12,78.075905,78.14,79.02958,78.74,0.0008209318867324,0.0036641976333418,0.0122147159229212,0.007678525723061,0.0198932416459823,光迅科技
'603267,2024-01-12,64.49825,64.85,65.28601,64.45,0.0054536363389703,0.0128053468116676,0.0122136647118333,-0.0061680801850422,0.006045584526791,鸿远电子
'002512,2024-01-12,35.68207,36.0,36.11652,35.26,0.0089100772460789,0.0237154631730854,0.0121755828627654,-0.0205555555555556,0.0083799726927901,达华智能
'600306,2024-01-12,23.763393,23.9,24.049364,25.22,0.0057486319398916,0.0486763807974297,0.0120340979926561,0.0552301255230125,0.0672642235156687,商业城
'002265,2024-01-12,11.015602,10.99,11.142411,10.85,0.0023241580441994,0.0262430635524034,0.0115117630430002,-0.0127388535031847,0.0012270904601845,西仪股份
'300366,2024-01-12,71.72463,71.52,72.540764,71.58,0.0028529948498864,0.0132444703780621,0.0113787132816159,0.0008389261744966,0.0122176394561126,创意信息
'002167,2024-01-12,50.602642,49.71,51.178303,49.71,0.0176402251882421,0.0286899508957926,0.0113761056191492,0.0,0.0113761056191492,东方锆业
'002520,2024-01-12,53.81041,54.34,54.419426,54.57,0.0098417759686277,0.0027669163581401,0.0113178100668626,0.0042326094957673,0.0155504195626299,日发精机
'000801,2024-01-12,83.73688,85.03,84.67969,91.53,0.0154426580020655,0.0808967297825489,0.0112591966645998,0.0764436081383041,0.0877028048029039,四川九洲
'600355,2024-01-12,17.95696,17.92,18.157679,17.88,0.002058254849373,0.0152926483610599,0.011177782876389,-0.002232142857143,0.008945640019246,精伦电子
'300075,2024-01-12,129.08951,129.6,130.51215,125.14,0.0039545428594469,0.0411620680526678,0.011020570145475,-0.0344135802469135,0.0233930101014384,数字政通
'002401,2024-01-12,115.8686,115.7,117.14154,115.97,0.0014550965490218,0.0100010636704964,0.0109860652497743,0.0023336214347449,0.0133196866845193,中远海科
'300620,2024-01-12,93.04675,92.98,94.060074,93.65,0.0007173813163812,0.0043597031403568,0.0108904824725205,0.007205850720585,0.0180963331931055,光库科技
'601929,2024-01-12,4.192603,4.19,4.2379174,4.19,0.00062085534929,0.0113068272637874,0.0108081781175082,0.0,0.0108081781175082,吉视传媒
'002086,2024-01-12,11.3715315,11.349999,11.492539,11.349999,0.0018935444183573,0.0124028293486757,0.0106412667458205,0.0,0.0106412667458205,ST东海洋
'000503,2024-01-12,101.486496,100.34,102.56071,100.61,0.0112970300994528,0.0190200516357579,0.0105847974098938,0.0026908511062387,0.0132756485161325,国新健康
'002599,2024-01-12,24.4377,24.38,24.694675,24.52,0.0023611059960634,0.0070733872788364,0.0105155149625374,0.0057424118129614,0.0162579267754988,盛通股份
'603728,2024-01-12,70.27415,70.68,71.004875,71.94,0.0057752388324867,0.0131698703786183,0.0103982047452725,0.0178268251273343,0.0282250298726068,鸣志电器
'300007,2024-01-12,70.10226,69.79,70.83063,71.47,0.0044543499738809,0.009026744503049,0.0103901072518917,0.0240722166499497,0.0344623239018414,汉威科技
'600765,2024-01-12,160.4874,160.83,162.14998,156.48,0.0021347470268694,0.0349675035420911,0.0103595671685128,-0.0270471926879314,0.0166876255194186,中航重机
'600186,2024-01-12,30.020872,29.48,30.327375,29.69,0.0180165319648276,0.0210164908766419,0.0102096634634729,0.007123473541384,0.017333137004857,*ST莲花
'603138,2024-01-12,46.475334,46.82,46.949814,45.66,0.0074161059283619,0.0274721855128117,0.0102092865002327,-0.0247757368645878,0.0145664503643551,海量数据
'300364,2024-01-12,111.306755,107.08,112.43287,109.51,0.0379739306927059,0.0259965791142749,0.0101172206484682,0.0226933134105342,0.0328105340590025,中文在线
'300659,2024-01-12,55.544907,55.26,56.105343,54.31,0.005129309155203,0.0319995013665631,0.0100897819488651,-0.0171914585595366,0.0071016766106714,中孚信息
'300565,2024-01-12,20.070887,19.94,20.27017,19.64,0.0065212364555685,0.0310885404513134,0.0099289582966612,-0.0150451354062186,0.0051161771095574,科信技术
'002042,2024-01-12,24.181196,24.37,24.42063,23.92,0.0078078851021265,0.0205002901235552,0.009901660778069,-0.0184653262207632,0.0085636654426941,华孚时尚
'002261,2024-01-12,140.55283,140.62,141.92224,141.71,0.0004778985951403,0.0014954668133759,0.0097430268746633,0.0077513867159721,0.0174944135906354,拓维信息
'603348,2024-01-12,33.181156,32.91,33.50159,32.94,0.008171987739065,0.0167630849759668,0.0096571077873235,0.0009115770282589,0.0105686848155825,文灿股份
'300213,2024-01-12,43.03507,43.11,43.449627,42.69,0.001741138099694,0.0174829348937794,0.0096330039663,-0.0097425191370912,0.0001095151707911,佳讯飞鸿
'002388,2024-01-12,20.501034,20.61,20.694977,21.039999,0.0053151465433401,0.0166717749915837,0.0094601569852525,0.0208636098981078,0.0303237668833604,新亚制程
'002903,2024-01-12,35.035675,34.88,35.366947,34.62,0.0044433281219783,0.0211199174189393,0.009455276657293,-0.0074541284403671,0.0020011482169259,宇环数控
'300748,2024-01-12,48.779602,48.85,49.238895,48.21,0.0014431852068002,0.0208959807079342,0.0094156774792873,-0.0131013306038894,0.003685653124602,金力永磁
