stock,date,score1,score1_true,score2,score2_ture,corr1,corr2,pred_rate,true_rate,average_corr,name
'000005,2024-01-17,2.837137,2.9499986,2.908178,2.8100011,0.0397801022650651,0.0337589033408546,0.0250396790849367,-0.0474568021828891,0.0224171230979523,世纪星源
'601975,2024-01-17,1.4851379,1.48,1.5154799,1.54,0.0034595440598479,0.0161797592960486,0.0204304260230649,0.0405405405405405,0.0609709665636055,招商南油
'603603,2024-01-17,1.2876859,1.3399997,1.304153,1.4000001,0.0406262117182457,0.0734937541837499,0.0127881341249444,0.0447764279350212,0.0575645620599657,博天环境
'300551,2024-01-17,62.53384,62.28,63.314144,61.91,0.0040592421639227,0.0221774142599164,0.0124781078532839,-0.0059409120102762,0.0065371958430076,古鳌科技
'600026,2024-01-17,16.288969,16.26,16.466934,16.5,0.0017784428222559,0.0020080240802569,0.0109254919694424,0.0147601476014759,0.0256856395709183,中远海能
'600306,2024-01-17,23.751827,24.17,24.006897,24.38,0.0176059298512069,0.0155414920970419,0.0107389633647971,0.008688456764584,0.0194274201293812,商业城
'601011,2024-01-17,7.9993644,7.83,8.072023,7.83,0.021172232133843,0.0299829423181772,0.0090830466480561,0.0,0.0090830466480561,宝泰隆
'002388,2024-01-17,20.156677,20.11,20.314884,20.25,0.0023157090824047,0.0031939143733234,0.0078488631831527,0.0069617105917454,0.0148105737748981,新亚制程
'000766,2024-01-17,68.18295,66.65,68.71132,66.3,0.0224828934506353,0.0350934896899085,0.0077492980283193,-0.0052513128282071,0.0024979852001121,通化金马
'601015,2024-01-17,8.932483,8.7699995,9.00037,8.82,0.0181901829536086,0.0200402872326359,0.0076000144640634,0.0057013116135296,0.0133013260775931,陕西黑猫
'002510,2024-01-17,18.343016,18.36,18.48042,18.28,0.0009259109843223,0.0108449916181557,0.0074908074004842,-0.0043572984749454,0.0031335089255387,天汽模
'600397,2024-01-17,12.331821,12.37,12.422423,11.86,0.0030959742279748,0.0452748227942327,0.007347009010267,-0.0412287793047695,0.0338817702945025,安源煤业
'002044,2024-01-17,34.07966,34.08,34.325157,34.14,9.976625353695995e-06,0.005394206936912,0.0072036223366078,0.0017605633802817,0.0089641857168895,美年健康
'600256,2024-01-17,307.9023,305.61002,310.06238,305.98,0.0074448290902666,0.0131663183389097,0.0070154721156678,0.0012106278452519,0.0082260999609197,广汇能源
'601838,2024-01-17,14.950427,14.83,15.052908,14.89,0.0080550876573625,0.0108223607026628,0.0068547206043011,0.0040458530006743,0.0109005736049755,成都银行
'600919,2024-01-17,10.277172,10.25,10.346815,10.309999,0.002643917996118,0.0035581964111661,0.00677647508478,0.0058535609756097,0.0126300360603897,江苏银行
'603863,2024-01-17,32.333652,31.729998,32.55088,32.82,0.0186695273395038,0.0082676720260712,0.0067183255389771,0.0343524131328341,0.0410707386718113,松炀资源
'002819,2024-01-17,36.84862,35.57,37.089222,35.18,0.0346992641786855,0.0514764639711234,0.0065294711172359,-0.0109642957548496,0.0044348246376136,东方中科
'300552,2024-01-17,45.50885,46.12,45.8054,45.76,0.0134292560677757,0.0009911495151226,0.0065163149585189,-0.007805724197745,0.001289409239226,万集科技
'603998,2024-01-17,46.292885,45.89,46.58633,45.11,0.0087029572687033,0.0316901975321944,0.0063388790739656,-0.0169971671388102,0.0106582880648445,方盛制药
'002740,2024-01-17,1.5792128,1.64,1.5889937,1.5800005,0.0384920892231875,0.0056596826028952,0.006193528826514,-0.0365850609756097,0.0303915321490956,爱迪尔
'600792,2024-01-17,24.118204,23.96,24.25781,24.11,0.0065595265717131,0.0060932953139627,0.0057884077935488,0.0062604340567612,0.01204884185031,云煤能源
'002142,2024-01-17,38.702965,38.38,38.92346,38.55,0.0083447095073981,0.0095947277040633,0.005697108735726,0.0044293903074516,0.0101264990431777,宁波银行
'600309,2024-01-17,2038.8578,2038.87,2050.3523,2092.05,5.983742465950008e-06,0.0203368465019402,0.0056377153914314,0.0260830754290368,0.0317207908204682,万华化学
'000017,2024-01-17,30.734497,30.5,30.900877,32.030003,0.0076297653415314,0.0365402574172894,0.0054134609718844,0.0501640327868852,0.0555774937587697,深中华A
'600200,2024-01-17,68.45906,67.37,68.82357,68.91,0.0159081938898955,0.0012558197722087,0.0053244961295117,0.022858839245955,0.0281833353754667,江苏吴中
'603323,2024-01-17,7.5524664,7.51,7.5903053,7.55,0.0056228518937866,0.005310102612078,0.00501013814507,0.0053262316910785,0.0103363698361485,苏农银行
'000688,2024-01-17,53.925747,53.61,54.19359,51.73,0.0058552179165918,0.0454590662844075,0.0049668852987794,-0.0350680843126282,0.0301011990138488,国城矿业
'300436,2024-01-17,48.638115,48.56,48.87953,47.82,0.0016060449711095,0.0216763540893294,0.0049634941650185,-0.0152388797364086,0.01027538557139,广生堂
'603113,2024-01-17,8.8508415,8.79,8.894001,8.62,0.0068740921414082,0.0308073947821683,0.00487631599775,-0.0193401592718998,0.0144638432741498,金能科技
'600036,2024-01-17,152.5198,151.55,153.2387,153.23,0.0063585186972445,5.677416997145364e-05,0.0047134863801289,0.0110854503464201,0.0157989367265491,招商银行
'603030,2024-01-17,9.869536,9.7699995,9.915815,9.87,0.0100852258910651,0.0046203968105497,0.004689075555325,0.0102354662351823,0.0149245417905073,全筑股份
'603787,2024-01-17,13.339263,13.18,13.401799,13.04,0.0119394152435558,0.0269963010189901,0.0046881150780219,-0.0106221547799696,0.0059340397019477,新日股份
'002369,2024-01-17,22.527008,22.36,22.630991,22.36,0.0074136787273302,0.0119743320122394,0.0046159259143514,0.0,0.0046159259143514,卓翼科技
'601390,2024-01-17,7.14518,7.14,7.177501,7.11,0.0007249642416286,0.0094045267287319,0.0045234689678917,-0.0042016806722688,0.0003217882956228,中国中铁
'600480,2024-01-17,20.960056,20.78,21.05473,20.52,0.0085904350637231,0.0253971435397176,0.0045168772449843,-0.0125120307988451,0.0079951535538607,凌云股份
'300716,2024-01-17,17.184912,17.17,17.261827,16.97,0.0008677379319718,0.0169059161582375,0.0044757284762354,-0.0116482236458941,0.0071724951696587,国立科技
'002323,2024-01-17,18.134409,18.0,18.214634,18.07,0.0074118213612586,0.0079405383605292,0.004423910368405,0.0038888888888889,0.008312799257294,ST百特
'603332,2024-01-17,21.004492,21.05,21.096642,20.710001,0.0021665841763753,0.0183271347165108,0.0043871568043635,-0.0161519714964371,0.0117648146920735,苏州龙杰
'600995,2024-01-17,72.5599,72.45,72.87317,71.74,0.0015146106871701,0.0155498930539182,0.0043173984528645,-0.0097998619737751,0.0054824635209106,文山电力
'300419,2024-01-17,42.805725,42.61,42.988567,42.539997,0.0045724024064538,0.0104346348646607,0.0042714379910631,-0.0016428772588594,0.0026285607322037,浩丰科技
