stock,date,score1,score1_true,score2,score2_ture,corr1,corr2,pred_rate,true_rate,average_corr,name
'300280,2023-12-25,41.193645,41.22,42.40546,40.9,0.0006397831510176,0.0355015604122676,0.029417523018417,-0.0077632217370208,0.0216543012813962,紫天科技
'603985,2023-12-25,103.55974,107.23,105.487915,105.89,0.0354409928028015,0.003811668853252,0.0186189633152805,-0.0124965028443532,0.0061224604709272,恒润股份
'002485,2023-12-25,13.895511,13.58,14.150371,13.12,0.0227059659770699,0.0728158293517534,0.0183411750744538,-0.0338733431516937,0.0155321680772399,希努尔
'000796,2023-12-25,14.923554,15.450001,15.17332,14.860001,0.0352762485397245,0.0206493371259552,0.0167363618612564,-0.0381876997936763,0.0214513379324199,凯撒旅业
'000603,2023-12-25,48.3517,48.91,49.13031,48.41,0.0115466467569908,0.0146612142280397,0.0161030532535567,-0.0102228583111838,0.0058801949423729,盛达资源
'000005,2023-12-25,2.5026758,2.129999,2.542671,2.68,0.1489113372175492,0.0540097401512033,0.0159809752425783,0.2582165531533113,0.2741975283958896,世纪星源
'600250,2023-12-25,24.009735,22.91,24.38114,24.34,0.0458037125357693,0.0016873698276618,0.0154689337470821,0.0624181580096027,0.0778870917566849,南纺股份
'002806,2023-12-25,20.180798,21.01,20.48129,20.09,0.0410886625989716,0.0191047536556535,0.0148899959258301,-0.0437886720609234,0.0288986761350932,华锋股份
'002308,2023-12-25,19.675648,18.89,19.964272,17.37,0.039929968253142,0.1299457350611131,0.0146690975565329,-0.0804658549497088,0.0657967573931758,威创股份
'002740,2023-12-25,3.079251,3.0800006,3.1240184,2.9599998,0.0002434358225424,0.0525024436475791,0.0145384056057788,-0.0389612911114368,0.024422885505658,爱迪尔
'603863,2023-12-25,35.485806,35.15,35.984894,34.1,0.0094631075872983,0.0523801459579121,0.0140644403004401,-0.0298719772403982,0.015807536939958,松炀资源
'002647,2023-12-25,21.958448,20.23,22.261074,22.519999,0.0787144883827855,0.0116312896673358,0.0137817572535181,0.113198171033119,0.1269799282866371,仁东控股
'000058,2023-12-25,18.111935,18.22,18.355602,17.77,0.0059665077199095,0.0319031759350633,0.0134533941293407,-0.0246981339187705,0.0112447397894297,深 赛 格
'002343,2023-12-25,21.42413,21.769999,21.704256,21.13,0.0161438994255541,0.026458220912986,0.0130752567315451,-0.0293982098942677,0.0163229531627225,慈文传媒
'000752,2023-12-25,28.402563,28.130001,28.76372,28.53,0.0095963874809467,0.0081255136679121,0.0127156482321682,0.0142196582218394,0.0269353064540077,*ST西发
'603030,2023-12-22,8.587781,9.07,8.695058,9.49,0.0561517579453878,0.0914245770413493,0.0124918183172113,0.0463065049614112,0.0587983232786226,全筑股份
'002591,2023-12-25,19.982008,21.96,20.231583,22.51,0.0989886501897106,0.1126168426860123,0.0124899859913978,0.0250455373406193,0.0375355233320172,恒大高新
'600198,2023-12-25,3.2222147,3.2400007,3.2622337,3.1900005,0.0055198059893402,0.0221422517951426,0.0124197186487914,-0.0154321571597191,0.0030124385109276,大唐电信
'002893,2023-12-25,19.239332,18.97,19.464272,18.48,0.0139990307355786,0.0505681383819544,0.0116916741184153,-0.0258302583025829,0.0141385841841676,华通热力
'603569,2023-12-25,19.31921,19.34,19.54459,18.96,0.0010761309598062,0.0299105788353707,0.0116661085002956,-0.0196483971044466,0.0079822886041509,长久物流
'300645,2023-12-25,34.079975,34.36,34.47471,33.45,0.0082167020369,0.0297235277686164,0.0115826082618899,-0.0264842840512222,0.0149016757893322,正元智慧
'600898,2023-12-25,4.8502374,4.89,4.9063516,4.8300004,0.0081980729438108,0.0155617057693132,0.0115693718414689,-0.0122698568507156,0.0007004850092466,国美通讯
'603613,2023-12-25,132.91948,131.58,134.40906,114.869995,0.010077379177228,0.1453701484111265,0.0112066342721173,-0.1269950220398237,0.1157883877677063,国联股份
'300591,2023-12-25,8.015373,8.01,8.104923,7.87,0.0006703368639239,0.0289852229317908,0.0111722810653975,-0.0174781523096129,0.0063058712442153,万里马
'603662,2023-12-25,88.35043,88.31,89.32395,85.75,0.0004576095441754,0.0400111056441189,0.0110188484651403,-0.0289887894915638,0.0179699410264234,柯力传感
'002238,2023-12-25,44.96248,46.23,45.449886,48.66,0.0281906158201237,0.0706297481142196,0.010840282831374,0.0525632706035042,0.0634035534348782,天威视讯
'000665,2023-12-25,28.661215,28.39,28.969326,27.17,0.0094627879522901,0.0621114208870443,0.0107501025340342,-0.0429728777738639,0.0322227752398297,湖北广电
'002387,2023-12-25,37.463615,37.53,37.86468,36.48,0.0017719859655829,0.0365691721150159,0.0107054538116517,-0.0279776179056755,0.0172721640940238,维信诺
'300302,2023-12-25,88.71153,88.77,89.65391,88.02,0.0006591025991773,0.0182246373861441,0.0106229708810117,-0.0084488002703616,0.0021741706106501,同有科技
'603533,2023-12-25,19.752983,20.49,19.961205,20.17,0.0373116809749696,0.010460039862323,0.010541293940262,-0.0156173743289407,0.0050760803886787,掌阅科技
'603721,2023-12-25,35.856834,38.87,36.2274,39.64,0.0840332417524647,0.0941994181199864,0.0103345989777012,0.0198096218163108,0.0301442207940121,中广天择
'002888,2023-12-25,44.235928,43.86,44.69073,42.53,0.0084982505623031,0.0483485053835549,0.0102812808629221,-0.0303237574099406,0.0200424765470185,惠威科技
'600638,2023-12-25,60.6214,61.160004,61.243114,60.35,0.0088847172780569,0.0145830925579649,0.010255685286054,-0.0132440148303456,0.0029883295442915,新黄浦
'300429,2023-12-25,75.08965,75.46,75.85907,73.1,0.0049321044910981,0.0363709969025458,0.0102466851290423,-0.0312748476013782,0.0210281624723358,强力新材
'600785,2023-12-25,79.18085,79.74,79.98145,78.67,0.0070616822123024,0.0163969270374567,0.0101110306343009,-0.0134186104840731,0.0033075798497722,新华百货
'603033,2023-12-25,101.444626,101.21,102.46622,100.63,0.0023128479965021,0.0179202472775907,0.0100704595234054,-0.0057306590257879,0.0043398004976175,三维股份
'002796,2023-12-25,25.721071,25.92,25.979906,25.23,0.007734086967063,0.0288648465471737,0.0100631501697577,-0.0266203703703704,0.0165572202006126,世嘉科技
'601801,2023-12-25,16.733006,16.85,16.899717,16.79,0.0069918100788347,0.0064922388937045,0.0099630036587567,-0.0035608308605342,0.0064021727982225,皖新传媒
'000609,2023-12-25,36.93725,37.03,37.299923,35.04,0.0025110153029801,0.0605878730634377,0.0098186248299481,-0.0537402106400216,0.0439215858100735,中迪投资
'300374,2023-12-25,24.079502,24.38,24.312233,23.99,0.0124794109114049,0.0132539450407537,0.0096651085225931,-0.0159967186218211,0.006331610099228,恒通科技
