stock,date,score1,score1_true,score2,score2_ture,corr1,corr2,pred_rate,true_rate,average_corr,name
'300799,2023-12-22,31.539738,44.220005,34.736866,43.920002,0.4020409744684626,0.2643628242110269,0.1013682485250828,-0.0067843275910982,0.0945839209339845,左江科技
'300781,2023-12-22,66.78441,67.4,69.79509,65.02,0.0092175703880593,0.0684158441517878,0.045080580931987,-0.0353115727002968,0.0097690082316902,因赛集团
'300031,2023-12-22,117.99457,121.99,122.14664,119.89,0.033861134457289,0.0184748430247447,0.0351886531727689,-0.0172145257808016,0.0179741273919673,宝通科技
'600250,2023-12-22,23.87286,23.01,24.671097,22.91,0.0361439726953535,0.07138300335814,0.0334370075474828,-0.0043459365493264,0.0290910709981563,南纺股份
'600571,2023-12-22,101.16738,99.26,104.295,100.66,0.0188537056114331,0.0348530610288125,0.0309153009596572,0.01410437235543,0.0450196733150873,信雅达
'002189,2023-12-22,22.31302,23.01,22.998573,24.77,0.0312364709035352,0.0770233440135611,0.0307243483849339,0.0764884832681442,0.1072128316530781,中光学
'002313,2023-12-22,28.242584,27.69,29.087273,28.16,0.0195656318132929,0.0318789939503782,0.0299083469132993,0.0169736366919465,0.0468819836052459,日海智能
'600589,2023-12-21,11.313432,11.49,11.6426325,11.22,0.0156069351899582,0.0363004243241379,0.0290981993792864,-0.0234986945169712,0.0055995048623151,广东榕泰
'002238,2023-12-22,39.920254,39.24,41.077843,46.23,0.0170403224388301,0.1254242341789951,0.0289975359375218,0.1781345565749234,0.2071320925124453,天威视讯
'600159,2023-12-22,17.227371,17.18,17.714458,16.25,0.0027497521241054,0.0826702120945501,0.0282740181307988,-0.0541327124563445,0.0258586943255456,大龙地产
'603729,2023-12-22,51.227,54.4,52.64639,60.54,0.0619399925820368,0.1499363963986895,0.0277078493763054,0.1128676470588235,0.140575496435129,龙韵股份
'600476,2023-12-22,28.612968,29.24,29.372288,27.17,0.0219142592966937,0.074978428646757,0.0265376174886856,-0.0707934336525306,0.044255816163845,湘邮科技
'603028,2023-12-22,14.220342,13.99,14.586335,14.03,0.0161980633095884,0.038140835240655,0.0257372853620538,0.0028591851322372,0.0285964704942911,赛福天
'601595,2023-12-22,30.21316,28.81,30.966373,30.71,0.0464420140097891,0.0082790774366762,0.0249299642937052,0.0659493231516835,0.0908792874453887,上海电影
'603106,2023-12-22,14.687119,14.21,15.046231,13.52,0.0324855405610861,0.1014361005091574,0.0244508129878978,-0.0485573539760732,0.0241065409881754,恒银金融
'000889,2023-12-22,3.6949425,3.7799988,3.7784271,3.83,0.0230196545683729,0.0136493039656633,0.0225942893563297,0.0132278348871433,0.035822124243473,中嘉博创
'002862,2023-12-22,28.61799,29.39,29.260107,30.92,0.0269763879294108,0.0567288766237252,0.0224375296797574,0.0520585233072474,0.0744960529870048,实丰文化
'600615,2023-12-22,774.53894,767.77997,790.7644,802.69995,0.0087264431146611,0.0150936865645442,0.0209485400437065,0.0454817543625159,0.0664302944062225,丰华股份
'603603,2023-12-22,2.1527953,2.15,2.1977744,2.06,0.0012984513669275,0.0626881448796564,0.0208933473609868,-0.041860465116279,0.0209671177552921,博天环境
'603991,2023-12-22,45.81549,46.01,46.752445,46.85,0.0042455073600653,0.002086628838342,0.0204506161562389,0.0182569006737666,0.0387075168300056,至正股份
'603721,2023-12-22,42.48345,39.27,43.351467,38.87,0.0756400433580604,0.1033752098862075,0.0204318858284814,-0.0101858925388338,0.0102459932896476,中广天择
'600178,2023-12-22,25.038187,24.6,25.53645,25.9,0.0175007479575098,0.0142365129060617,0.0199001229601806,0.0528455284552844,0.0727456514154651,东安动力
'603189,2023-12-22,16.707026,16.63,17.039452,16.87,0.004610395650309,0.0099446860145502,0.0198973773070085,0.0144317498496693,0.0343291271566779,网达软件
'000829,2023-12-22,136.30995,136.20999,138.93295,136.5,0.0007333287115135,0.0175116845931796,0.0192429092667117,0.0021291389860611,0.0213720482527728,天音控股
'300313,2023-12-22,18.33964,18.42,18.674908,18.68,0.0043817653999752,0.0002726653325414,0.0182810567710161,0.0141150922909879,0.0323961490620041,天山生物
'300624,2023-12-22,148.99757,151.09001,151.71915,148.91,0.0140434505072801,0.0185154609685067,0.0182659354780082,-0.0144285515634025,0.0038373839146056,万兴科技
'300379,2023-12-22,115.12274,118.73,117.2247,115.27,0.0313340353087496,0.0166748134138965,0.0182584257462948,-0.0291417501895056,0.0108833244432108,东方通
'600766,2023-12-22,93.154,91.520004,94.852745,82.62,0.0175408034008201,0.1289656403723476,0.0182358782231573,-0.0972465429525111,0.0790106647293538,园城黄金
'000572,2023-12-22,17.456993,17.62,17.771078,18.07,0.0093376333484237,0.0168207015916536,0.0179919302253256,0.0255391600454029,0.0435310902707285,*ST 海马
'002693,2023-12-22,25.576035,25.58,26.010128,25.61,0.0001550279392406,0.0153835459787049,0.0169726464637697,0.0011727912431587,0.0181454377069284,双成药业
'600506,2023-12-22,13.564968,13.51,13.787933,13.5,0.0040522027033164,0.020882970638166,0.0164368246205962,-0.0007401924500369,0.0156966321705592,香梨股份
'603322,2023-12-22,75.15941,74.72,76.38672,74.840004,0.0058463737275212,0.0202484934554069,0.0163294256833575,0.0016060492505352,0.0179354749338928,超讯通信
'300081,2023-12-22,49.761936,50.75,50.57429,51.6,0.0198558191144331,0.0202812535776578,0.0163248069769632,0.0167487684729064,0.0330735754498696,恒信东方
'002888,2023-12-22,41.629368,42.37,42.301506,43.86,0.0177910940180499,0.0368425180890721,0.0161457651723178,0.0351663913146094,0.0513121564869273,惠威科技
'300364,2023-12-22,112.26325,115.57,114.0461,119.35,0.0294553204187478,0.0465066319672483,0.015880976187666,0.0327074500302846,0.0485884262179507,中文在线
'300044,2023-12-22,43.915462,43.34,44.60805,43.27,0.0131038584997692,0.0299957070528748,0.0157709373523157,-0.0016151361329026,0.014155801219413,赛为智能
'000609,2023-12-22,40.410503,39.35,41.04021,37.03,0.0262432516615791,0.0977141686165836,0.0155827557998969,-0.0589580686149936,0.0433753128150966,中迪投资
'300552,2023-12-22,55.59784,55.88,56.44768,56.58,0.0050750173028305,0.0023441175970385,0.0152854859109634,0.0125268432355045,0.027812329146468,万集科技
'000518,2023-12-22,25.84836,25.19,26.23969,24.96,0.0254700878508345,0.048769249941596,0.01513945178727,-0.0091306073838825,0.0060088444033875,四环生物
'600678,2023-12-22,26.952929,26.4,27.357094,25.97,0.020514616426289,0.0507032654857274,0.014995216289851,-0.0162878787878787,0.0012926624980277,四川金顶
'603286,2023-12-22,25.031599,25.36,25.406586,25.58,0.0131194575304597,0.0068255530278644,0.0149805451901015,0.0086750788643532,0.0236556240544548,日盈电子
'300620,2023-12-22,100.45026,101.659996,101.95091,99.39,0.0120431345822301,0.0251190499427616,0.0149392346022797,-0.0223292946027659,0.0073900600004862,光库科技
'002564,2023-12-22,12.281434,12.290001,12.4637,12.16,0.0006975569790953,0.0243667610741592,0.0148407751081834,-0.0105777859578693,0.0042629891503141,天沃科技
'300255,2023-12-22,104.44406,103.69,105.97957,101.54,0.0072197499790796,0.0418908097098335,0.0147017456042976,-0.0207348828238016,0.0060331372195039,常山药业
