,Unnamed: 0,date,stock,score1,score2,pred_rate,name
79,109,600151,2024-01-16,22.253222,22.26398,0.0,航天机电
80,943,603000,2024-01-16,133.74866,133.81265,0.0,人民网
81,595,600769,2024-01-16,34.888718,34.905357,0.0,祥龙电业
82,2204,2369,2024-01-16,26.749796,26.762436,0.0,卓翼科技
83,2236,2401,2024-01-16,138.43065,138.49605,0.0,中远海科
84,2925,300191,2024-01-16,67.110146,67.14184,0.0,潜能恒信
85,2895,300158,2024-01-16,42.592632,42.61273,0.0,振东制药
86,671,600861,2024-01-16,52.939144,52.964092,0.0,北京城乡
87,1361,603888,2024-01-16,73.395355,73.429276,0.0,新华网
88,2471,2656,2024-01-16,11.235574,11.240695,0.0,摩登大道
89,218,600288,2024-01-16,41.20826,41.227024,0.0,大恒科技
90,2022,2182,2024-01-16,60.961136,60.98879,0.0,云海金属
91,1348,603869,2024-01-16,15.773475,15.780613,0.0,新智认知
92,1415,603991,2024-01-16,49.922028,49.944275,0.0,至正股份
93,744,600990,2024-01-16,73.78487,73.81758,0.0,四创电子
94,2591,2795,2024-01-16,33.820164,33.834957,0.0,永和智控
95,2553,2748,2024-01-16,24.007887,24.01836,0.0,世龙实业
96,666,600855,2024-01-16,18.38129,18.389288,0.0,航天长峰
97,569,600738,2024-01-16,51.31833,51.3405,0.0,兰州民百
98,1499,411,2024-01-16,29.198185,29.210726,0.0,英特集团
99,925,601949,2024-01-16,9.744073,9.74823,0.0,中国出版
100,179,600234,2024-01-16,20.384722,20.39331,0.0,*ST山水
101,1016,603108,2024-01-16,125.34649,125.39929,0.0,润达医疗
102,2286,2456,2024-01-16,192.79008,192.87119,0.0,欧菲光
103,323,600426,2024-01-16,232.56131,232.65854,0.0,华鲁恒升
104,377,600509,2024-01-16,26.8699,26.881042,0.0,天富能源
105,1449,35,2024-01-16,26.29569,26.30655,0.0,中国天楹
106,1460,56,2024-01-16,13.855012,13.860716,0.0,皇庭国际
107,676,600866,2024-01-16,68.17809,68.206055,0.0,星湖科技
108,3326,300620,2024-01-16,109.72021,109.76503,0.0,光库科技
109,2986,300256,2024-01-16,14.340436,14.346261,0.0,星星科技
110,255,600335,2024-01-16,50.037094,50.057392,0.0,国机汽车
111,2314,2488,2024-01-16,45.70151,45.720047,0.0,金固股份
112,797,601155,2024-01-16,24.356781,24.36663,0.0,新城控股
113,1992,2151,2024-01-16,189.00177,189.0775,0.0,北斗星通
114,3336,300630,2024-01-16,84.39387,84.42761,0.0,普利制药
115,3206,300491,2024-01-16,43.35719,43.374504,0.0,通合科技
116,1908,2060,2024-01-16,19.5732,19.58101,0.0,粤 水 电
117,486,600639,2024-01-16,33.432457,33.44571,0.0,浦东金桥
118,531,600696,2024-01-16,57.302982,57.325645,0.0,ST岩石
119,2814,300071,2024-01-16,43.143776,43.1608,0.0,华谊嘉信
120,77,600108,2024-01-16,32.67836,32.691216,0.0,亚盛集团
121,1047,603178,2024-01-16,46.251236,46.269287,0.0,圣龙股份
122,2576,2777,2024-01-16,130.73921,130.78995,0.0,久远银海
123,662,600850,2024-01-16,161.1532,161.2157,0.0,华东电脑
124,3010,300282,2024-01-16,13.634485,13.639711,0.0,三盛教育
125,3096,300379,2024-01-16,137.43,137.48248,0.0,东方通
126,2357,2537,2024-01-16,46.70439,46.722153,0.0,海联金汇
127,2340,2519,2024-01-16,70.6128,70.63959,0.0,银河电子
128,2509,2699,2024-01-16,15.085512,15.091227,0.0,美盛文化
129,2688,2903,2024-01-16,36.988384,37.00235,0.0,宇环数控
130,1714,800,2024-01-16,20.974993,20.982872,0.0,一汽轿车
131,3084,300365,2024-01-16,80.26429,80.29436,0.0,恒华科技
132,1520,506,2024-01-16,10.041297,10.045056,0.0,中润资源
133,3249,300538,2024-01-16,54.072678,54.09275,0.0,同益股份
134,3452,300752,2024-01-16,48.13498,48.152847,0.0,隆利科技
135,2061,2222,2024-01-16,70.72666,70.75285,0.0,福晶科技
136,3051,300327,2024-01-16,69.79996,69.825645,0.0,中颖电子
137,1556,553,2024-01-16,31.487165,31.498718,0.0,安道麦A
138,2782,300036,2024-01-16,108.40107,108.44074,0.0,超图软件
139,2820,300078,2024-01-16,59.945152,59.967075,0.0,思创医惠
140,3029,300302,2024-01-16,97.94432,97.98009,0.0,同有科技
141,1248,603665,2024-01-16,42.301105,42.31648,0.0,康隆达
142,426,600570,2024-01-16,860.2291,860.5413,0.0,恒生电子
143,2798,300053,2024-01-16,69.50204,69.52726,0.0,欧比特
144,585,600757,2024-01-16,74.60049,74.62756,0.0,长江传媒
145,1994,2153,2024-01-16,455.67154,455.8364,0.0,石基信息
146,2711,2929,2024-01-16,44.441463,44.457535,0.0,润建股份
147,1662,717,2024-01-16,12.75514,12.759751,0.0,韶钢松山
148,1675,733,2024-01-16,118.49962,118.54234,0.0,振华科技
149,2781,300035,2024-01-16,88.94471,88.97677,0.0,中科电气
150,3211,300497,2024-01-16,61.877235,61.89941,0.0,富祥股份
