stock,date,score1,score1_true,score2,score2_ture,corr1,corr2,pred_rate,true_rate,average_corr,name
'300799,2024-01-04,43.470478,48.040005,46.067852,46.920002,0.1051179377415633,0.018497715066029,0.0597502976617832,-0.0233139651005449,0.0364363325612383,左江科技
'002740,2024-01-04,2.2987812,2.3,2.3616912,2.2099998,0.0005301940001944,0.0642299890857874,0.0273666758715444,-0.0391305217391304,0.0117638458675859,爱迪尔
'300551,2024-01-04,72.18505,72.85,73.73737,69.57,0.0092117412123423,0.0565163905357623,0.0215047298574981,-0.0450240219629375,0.0235192921054394,古鳌科技
'603266,2024-01-04,52.362705,52.56,53.059002,49.5,0.0037678534751022,0.0670763087477597,0.0132975750584314,-0.0582191780821918,0.0449216030237604,天龙股份
'600792,2024-01-04,28.698145,28.02,29.077534,27.92,0.0236302729671203,0.0398085339699026,0.0132199833822011,-0.0035688793718771,0.009651104010324,云煤能源
'002089,2024-01-04,14.33303,14.249999,14.504016,13.400001,0.0057929830608043,0.0761178834882697,0.0119295082756401,-0.0596489866420342,0.047719478366394,*ST新海
'002561,2024-01-04,14.454835,14.41,14.611875,14.51,0.003101730320685,0.0069720689507677,0.0108641848903844,0.0069396252602359,0.0178038101506203,徐家汇
'002805,2024-01-04,32.134026,33.11,32.45194,31.29,0.0303719801558634,0.035804947254309,0.0098933759498421,-0.054968287526427,0.0450749115765849,丰元股份
'600675,2024-01-04,114.73182,115.38,115.84464,115.38,0.0056495225125862,0.0040108890665981,0.0096993144534794,0.0,0.0096993144534794,中华企业
'000546,2024-01-04,20.80733,20.36,21.004932,20.2,0.0214986737846711,0.0383210952551524,0.0094967494628094,-0.0078585461689587,0.0016382032938507,金圆股份
'300364,2024-01-04,126.59531,125.600006,127.714066,116.76,0.0078620922054695,0.0857702392781073,0.0088372626126513,-0.0703822100135886,0.0615449474009372,中文在线
'002123,2024-01-04,81.39239,81.23,82.111595,79.43,0.0019951496693978,0.0326579333893098,0.0088362683538348,-0.022159300750954,0.0133230323971191,梦网集团
'600129,2024-01-04,118.35823,117.670006,119.34639,114.91,0.0058147540732909,0.0371723853566077,0.0083488913276245,-0.0234554759859535,0.0151065846583289,太极集团
'601058,2024-01-04,54.848846,54.64,55.27411,54.81,0.0038076644310803,0.0083965169226605,0.0077533809918261,0.0031112737920937,0.0108646547839198,赛轮轮胎
'601100,2024-01-04,177.25948,177.06,178.60765,175.81999,0.0011253558906976,0.0156077301280209,0.0076056298935324,-0.0070033322037728,0.0006022976897596,恒立液压
'002313,2024-01-04,29.42636,30.16,29.64459,28.99,0.0249313880479951,0.0220812633940966,0.0074161398147783,-0.0387931034482759,0.0313769636334975,日海智能
'300742,2024-01-04,13.272076,14.54,13.370091,14.29,0.0955332082185182,0.0688034958026836,0.0073850541543011,-0.0171939477303989,0.0098088935760977,越博动力
'000983,2024-01-04,95.29888,94.96,95.90591,94.57,0.003555970437428,0.0139293814114272,0.0063697495710338,-0.0041069924178601,0.0022627571531737,西山煤电
'000301,2024-01-04,18.596062,18.48,18.709488,18.26,0.0062412138656022,0.0240246018490724,0.0060994634240303,-0.0119047619047618,0.0058052984807315,东方盛虹
'600491,2024-01-04,33.90501,34.079998,34.10083,34.22,0.00516112515525,0.0034946363475609,0.0057755476255575,0.0041080401471853,0.0098835877727428,龙元建设
'002653,2024-01-04,72.20653,72.299995,72.61793,71.299995,0.0012944120150905,0.0181488924291838,0.0056975456374929,-0.0138312596010552,0.0081337139635623,海思科
'000543,2024-01-04,24.760044,24.72,24.90032,25.23,0.001617283071064,0.013239990490082,0.0056654180420681,0.0206310679611651,0.0262964860032332,皖能电力
'300419,2024-01-04,45.60612,46.57,45.85742,46.19,0.0211348827745048,0.0072524795333012,0.005510225382032,-0.0081597595018252,0.0026495341197931,浩丰科技
'002903,2024-01-04,38.46614,39.15,38.6704,33.69,0.0177782330122023,0.1287910132814763,0.0053101246966812,-0.139463601532567,0.1341534768358858,宇环数控
'600780,2024-01-04,82.98683,83.14,83.40719,82.869995,0.001845714554948,0.006440631796851,0.0050653820612258,-0.0032475944190521,0.0018177876421737,通宝能源
