stock,date,score1,score2
'600179,2024-01-26,5.9910913,6.1309094
'600180,2024-01-26,10.512095,10.950081
'600182,2024-01-26,17.665194,17.63436
'600183,2024-01-26,117.41335,118.84194
'600184,2024-01-26,36.15856,37.282436
'600185,2024-01-26,47.10117,48.284557
'600186,2024-01-26,28.954853,28.848795
'600187,2024-01-26,10.187212,10.187891
'600188,2024-01-26,70.296684,71.280075
'600189,2024-01-26,16.617657,17.521828
'600190,2024-01-26,5.7380476,5.8130307
'600191,2024-01-26,10.753219,11.263306
'600192,2024-01-26,7.165102,7.1016665
'600193,2024-01-26,26.224096,26.435387
'600195,2024-01-26,48.03101,48.225075
'600196,2024-01-26,325.12137,330.51376
'600197,2024-01-26,53.136154,52.544365
'600198,2024-01-26,2.9304109,3.1940446
'600199,2024-01-26,70.61742,71.48921
'600200,2024-01-26,62.490383,67.531075
'600201,2024-01-26,180.70468,182.69281
'600202,2024-01-26,24.18966,24.215643
'600203,2024-01-26,11.774356,11.799577
'600206,2024-01-26,36.66785,37.40281
'600207,2024-01-26,6.3233614,6.495174
'600208,2024-01-26,16.194529,16.365702
'600210,2024-01-26,30.538803,30.51202
'600211,2024-01-26,107.07489,109.95298
'600212,2024-01-26,20.046892,19.84803
'600213,2024-01-26,14.153832,14.585843
'600215,2024-01-26,20.461649,20.8633
'600216,2024-01-26,51.923134,52.80046
'600217,2024-01-26,14.724953,14.821965
'600218,2024-01-26,13.813211,14.670362
'600220,2024-01-26,16.328337,16.184252
'600221,2024-01-26,3.77137,3.7784462
'600222,2024-01-26,24.062859,24.658247
'600223,2024-01-26,14.107972,13.883966
'600225,2024-01-26,6.4625998,6.710812
'600226,2024-01-26,51.05841,51.06263
'600227,2024-01-26,11.300024,11.629982
'600228,2024-01-26,11.988897,12.990173
'600229,2024-01-26,9.234378,9.788933
'600230,2024-01-26,20.870836,21.067389
'600231,2024-01-26,14.38633,14.571638
'600232,2024-01-26,13.756021,13.717656
'600233,2024-01-26,42.295593,42.071724
'600234,2024-01-26,19.419958,18.12003
'600235,2024-01-26,10.272476,10.31761
'600237,2024-01-26,22.374409,22.680622
'600238,2024-01-26,27.716755,27.93171
'600239,2024-01-26,55.06754,56.54451
'600241,2024-01-26,15.475708,15.83341
'600243,2024-01-26,7.6616797,7.730206
'600246,2024-01-26,54.949284,55.112667
'600248,2024-01-26,16.385273,16.45139
'600249,2024-01-26,18.564257,19.099852
'600250,2024-01-26,22.030434,24.21552
'600251,2024-01-26,56.026848,56.283203
'600252,2024-01-26,81.86646,83.89191
'600255,2024-01-26,22.505026,21.873196
'600256,2024-01-26,299.93643,301.44345
'600257,2024-01-26,40.358986,42.12587
'600258,2024-01-26,26.538242,26.6543
'600259,2024-01-26,34.20085,34.286217
'600261,2024-01-26,68.67359,69.58241
'600262,2024-01-26,25.988695,26.213612
'600265,2024-01-26,29.442993,29.388895
'600266,2024-01-26,22.852997,23.117731
'600267,2024-01-26,50.37039,50.961323
'600268,2024-01-26,42.55287,42.626568
'600269,2024-01-26,57.064552,57.72906
'600271,2024-01-26,157.9116,161.3764
'600272,2024-01-26,11.912468,12.781907
'600273,2024-01-26,11.730122,11.900973
'600276,2024-01-26,2060.6636,2101.0818
'600277,2024-01-26,11.898217,11.757609
'600278,2024-01-26,11.456675,11.6479025
'600279,2024-01-26,8.521933,8.54299
'600280,2024-01-26,43.481644,43.244766
'600281,2024-01-26,8.847845,8.884739
'600282,2024-01-26,20.4703,20.60104
'600283,2024-01-26,14.524371,14.771992
'600284,2024-01-26,16.60162,16.94104
'600285,2024-01-26,88.99602,90.075005
'600287,2024-01-26,22.446196,23.24204
'600288,2024-01-26,35.23652,36.618015
'600289,2024-01-26,20.427694,21.155527
'600292,2024-01-26,19.543608,19.63922
'600293,2024-01-26,11.452113,11.44699
'600295,2024-01-26,51.80024,51.824265
'600297,2024-01-26,8.305617,8.345451
'600298,2024-01-26,193.98856,193.54802
'600299,2024-01-26,19.619743,19.499104
'600300,2024-01-26,17.651264,17.596933
'600301,2024-01-26,13.776303,13.985843
'600302,2024-01-26,13.5355425,14.8482065
'600303,2024-01-26,19.868483,19.505587
'600305,2024-01-26,66.52616,66.780334
'600306,2024-01-26,18.47588,19.682117
'600307,2024-01-26,5.6323395,5.6633186
'600308,2024-01-26,30.093111,30.240595
'600309,2024-01-26,2215.349,2211.5894
'600310,2024-01-26,26.290316,27.136236
'600312,2024-01-26,76.1572,76.40608
'600313,2024-01-26,30.163803,30.615152
'600315,2024-01-26,114.36136,115.62188
'600316,2024-01-26,100.68835,103.513405
'600318,2024-01-26,21.158329,23.296383
'600319,2024-01-26,6.293173,6.133203
'600320,2024-01-26,36.552563,36.844093
'600321,2024-01-26,10.907346,10.83792
'600322,2024-01-26,5.327541,5.4713173
'600323,2024-01-26,52.03978,52.324657
'600325,2024-01-26,67.38936,67.44406
'600326,2024-01-26,37.02117,38.31074
'600327,2024-01-26,56.936234,58.478756
'600328,2024-01-26,25.101986,25.473782
'600329,2024-01-26,72.001816,75.69989
'600330,2024-01-26,30.561108,31.169197
'600331,2024-01-26,40.00536,40.038033
'600332,2024-01-26,33.57461,33.89458
'600333,2024-01-26,13.352552,13.784962
'600335,2024-01-26,47.398846,47.848778
'600336,2024-01-26,12.754041,12.930656
'600337,2024-01-26,31.984087,31.993452
'600338,2024-01-26,22.750061,22.72493
'600339,2024-01-26,13.698303,13.910799
'600340,2024-01-26,84.11436,84.47276
'600343,2024-01-26,23.186821,23.798466
'600345,2024-01-26,24.836607,25.708431
'600346,2024-01-26,99.583954,100.26536
'600348,2024-01-26,90.80654,91.601906
'600350,2024-01-26,11.063334,11.151028
'600351,2024-01-26,47.861225,49.093628
'600352,2024-01-26,112.06429,113.7856
'600353,2024-01-26,80.627945,82.599655
