stock,date,score1,score2,pred_rate,name
'000017,2024-01-26,10.013707,18.64561,0.862,深中华A
'000005,2024-01-26,3.0930457,4.403005,0.424,世纪星源
'603603,2024-01-26,1.4667716,2.07169,0.412,博天环境
'603958,2024-01-26,8.405808,10.97938,0.306,哈森股份
'603099,2024-01-26,17.346313,21.08902,0.216,长白山
'600053,2024-01-26,33.084984,38.325096,0.158,九鼎投资
'002308,2024-01-26,16.018238,18.470608,0.153,威创股份
'000020,2024-01-26,21.639986,24.918453,0.152,深华发Ａ
'000070,2024-01-26,18.27867,21.026705,0.15,特发信息
'600571,2024-01-26,92.133934,105.6546,0.147,信雅达
'603613,2024-01-26,99.63463,114.13201,0.146,国联股份
'002178,2024-01-26,32.24255,36.80743,0.142,延华智能
'300096,2024-01-26,24.585789,27.918375,0.136,易联众
'300135,2024-01-26,37.497738,42.218674,0.126,宝利国际
'600678,2024-01-26,22.430387,25.215202,0.124,四川金顶
'600156,2024-01-26,5.191728,5.822308,0.121,华升股份
'603363,2024-01-26,7.5306067,8.44178,0.121,傲农生物
'300225,2024-01-26,62.431488,69.96927,0.121,金力泰
'300255,2024-01-26,90.81675,101.701866,0.12,常山药业
'300315,2024-01-26,59.06624,65.86371,0.115,掌趣科技
'600083,2024-01-26,7.1742845,7.9564896,0.109,博信股份
'300553,2024-01-26,42.152527,46.662624,0.107,集智股份
'300210,2024-01-26,53.668964,59.27563,0.104,森远股份
'300364,2024-01-26,114.09991,125.97775,0.104,中文在线
'600318,2024-01-26,21.158329,23.296383,0.101,新力金融
'600807,2024-01-26,20.643085,22.728052,0.101,ST天业
'300374,2024-01-26,23.351019,25.673151,0.099,恒通科技
'002893,2024-01-26,17.527168,19.26781,0.099,华通热力
'600250,2024-01-26,22.030434,24.21552,0.099,南纺股份
'600661,2024-01-26,57.08016,62.725304,0.099,昂立教育
'000068,2024-01-26,7.698865,8.459134,0.099,华控赛格
'000976,2024-01-26,5.9630775,6.5518427,0.099,华铁股份
'300551,2024-01-26,72.19122,79.27231,0.098,古鳌科技
'603810,2024-01-26,26.534525,29.125381,0.098,丰山集团
'600579,2024-01-26,12.598228,13.82817,0.098,克劳斯
'603628,2024-01-26,16.488113,18.088863,0.097,清源股份
'600302,2024-01-26,13.5355425,14.8482065,0.097,标准股份
'603007,2024-01-26,13.544904,14.842009,0.096,花王股份
'002313,2024-01-26,25.944584,28.424725,0.096,日海智能
