stock,date,score1,score2,pred_rate,name
'000017,2024-01-24,9.271604,17.183737,0.853,深中华A
'000005,2024-01-24,2.91817,4.3518705,0.491,世纪星源
'603603,2024-01-24,1.5747023,2.098938,0.333,博天环境
'603099,2024-01-24,15.928843,20.149343,0.265,长白山
'603958,2024-01-24,8.401877,10.454139,0.244,哈森股份
'300135,2024-01-24,38.754795,46.34602,0.196,宝利国际
'000889,2024-01-24,3.911948,4.641731,0.187,中嘉博创
'300364,2024-01-24,112.74406,132.5397,0.176,中文在线
'601975,2024-01-24,0.9774737,1.13794,0.164,招商南油
'300551,2024-01-24,72.28499,84.132515,0.164,古鳌科技
'300210,2024-01-24,53.21589,61.605167,0.158,森远股份
'603363,2024-01-24,7.5957527,8.77971,0.156,傲农生物
'600156,2024-01-24,5.2687907,6.0450587,0.147,华升股份
'300553,2024-01-24,41.900597,47.694473,0.138,集智股份
'000628,2024-01-24,146.48207,166.15607,0.134,高新发展
'600715,2024-01-24,9.2793665,10.472707,0.129,文投控股
'600088,2024-01-24,35.35386,39.898148,0.129,中视传媒
'300654,2024-01-24,35.653667,40.093,0.125,世纪天鸿
'600780,2024-01-24,76.97833,86.385345,0.122,通宝能源
'603007,2024-01-24,12.75378,14.253162,0.118,花王股份
'603985,2024-01-24,101.93699,113.78443,0.116,恒润股份
'002229,2024-01-24,124.040764,138.33565,0.115,鸿博股份
'002308,2024-01-24,16.884146,18.80117,0.114,威创股份
'603918,2024-01-24,58.638744,65.2468,0.113,金桥信息
'300097,2024-01-24,32.075424,35.677666,0.112,智云股份
'603083,2024-01-24,75.13119,83.55044,0.112,剑桥科技
'600571,2024-01-24,94.61829,105.033966,0.11,信雅达
'603038,2024-01-24,32.55165,36.0885,0.109,华立股份
'600228,2024-01-24,11.972383,13.260993,0.108,ST昌九
'603000,2024-01-24,106.180786,117.507774,0.107,人民网
'600128,2024-01-24,19.24488,21.283907,0.106,弘业股份
'601900,2024-01-24,14.233404,15.73696,0.106,南方传媒
'002862,2024-01-24,26.967472,29.814442,0.106,实丰文化
'000757,2024-01-24,24.017282,26.528233,0.105,浩物股份
'603595,2024-01-24,63.33294,69.92886,0.104,东尼电子
'600318,2024-01-24,21.017641,23.186338,0.103,新力金融
'600358,2024-01-24,13.142124,14.489897,0.103,国旅联合
'601858,2024-01-24,24.08223,26.551815,0.103,中国科传
'002591,2024-01-24,22.542494,24.853287,0.103,恒大高新
