stock,date,score1,score2,pred_rate,name
'300799,2024/1/16,65.85611,132.95552,1.019,左江科技
'603099,2024/1/16,12.661108,17.48051,0.381,长白山
'000005,2024/1/16,3.4601638,4.4696608,0.292,世纪星源
'603603,2024/1/16,1.9337742,2.4495318,0.267,博天环境
'603628,2024/1/16,11.821016,14.870631,0.258,清源股份
'300742,2024/1/16,9.135525,10.967093,0.2,越博动力
'000017,2024/1/16,11.99216,14.342522,0.196,深中华A
'002740,2024/1/16,3.0008647,3.5559757,0.185,爱迪尔
'603985,2024/1/16,107.85321,126.19555,0.17,恒润股份
'300135,2024/1/16,38.62628,45.18695,0.17,宝利国际
'600593,2024/1/16,24.82496,28.99707,0.168,大连圣亚
'300551,2024/1/16,80.89548,93.950226,0.161,古鳌科技
'002882,2024/1/16,14.605381,16.820974,0.152,金龙羽
'600306,2024/1/16,15.0981,17.358042,0.15,商业城
'000564,2024/1/16,15.279605,17.536358,0.148,供销大集
'002641,2024/1/16,29.806128,33.929085,0.138,永高股份
'601975,2024/1/16,0.96907824,1.100466,0.136,招商南油
'600520,2024/1/16,44.88233,50.601612,0.127,文一科技
'000628,2024/1/16,150.23145,169.05763,0.125,高新发展
'002089,2024/1/16,13.343985,15.011942,0.125,*ST新海
'603038,2024/1/16,31.245157,35.14849,0.125,华立股份
'300097,2024/1/16,32.26315,35.83572,0.111,智云股份
'000715,2024/1/16,28.39244,31.456715,0.108,中兴商业
'600696,2024/1/16,47.94042,53.0751,0.107,ST岩石
'300552,2024/1/16,54.44669,60.21529,0.106,万集科技
'000670,2024/1/16,95.19793,105.23264,0.105,*ST盈方
'603613,2024/1/16,125.36637,138.54228,0.105,国联股份
'002868,2024/1/16,27.388508,30.235018,0.104,绿康生化
'002952,2024/1/16,52.38653,57.731934,0.102,亚世光电
'603598,2024/1/16,39.39285,43.390675,0.101,引力传媒
'600246,2024/1/16,54.67518,60.127316,0.1,万通地产
'300096,2024/1/16,30.728083,33.7799,0.099,易联众
'300763,2024/1/16,268.24,294.86932,0.099,锦浪科技
'300530,2024/1/16,45.09424,49.393856,0.095,达志科技
'600780,2024/1/16,83.58193,91.53029,0.095,通宝能源
'002123,2024/1/16,94.96321,103.68601,0.092,梦网集团
'603595,2024/1/16,70.28543,76.68187,0.091,东尼电子
