stock,date,score1,score2,pred_rate,name
'300799,2024-01-23,25.026684,119.158134,3.761,左江科技
'000017,2024-01-23,9.37008,16.351707,0.745,深中华A
'000005,2024-01-23,2.9832444,4.205727,0.41,世纪星源
'603603,2024-01-23,1.5805181,2.189259,0.385,博天环境
'603099,2024-01-23,14.432818,19.872892,0.377,长白山
'600156,2024-01-23,4.9740853,6.073769,0.221,华升股份
'603958,2024-01-23,8.806483,10.292636,0.169,哈森股份
'300364,2024-01-23,109.99124,127.98841,0.164,中文在线
'300135,2024-01-23,39.718887,45.73423,0.151,宝利国际
'603985,2024-01-23,103.04711,118.3373,0.148,恒润股份
'600302,2024-01-23,12.723436,14.506639,0.14,标准股份
'300096,2024-01-23,27.918182,31.66293,0.134,易联众
'603038,2024-01-23,31.443645,35.59775,0.132,华立股份
'002433,2024-01-23,10.598592,11.996978,0.132,太安堂
'603628,2024-01-23,14.715362,16.625559,0.13,清源股份
'000564,2024-01-23,15.757978,17.788588,0.129,供销大集
'600780,2024-01-23,78.97737,88.885864,0.125,通宝能源
'000710,2024-01-23,27.763498,31.183655,0.123,贝瑞基因
'600198,2024-01-23,3.0908463,3.4613822,0.12,大唐电信
'603803,2024-01-23,8.07762,9.040055,0.119,瑞斯康达
'603363,2024-01-23,7.8445807,8.766767,0.118,傲农生物
'600696,2024-01-23,45.258305,50.560963,0.117,ST岩石
'601858,2024-01-23,24.014603,26.770674,0.115,中国科传
'603000,2024-01-23,107.15548,119.2785,0.113,人民网
'600715,2024-01-23,9.211941,10.220476,0.109,文投控股
'603083,2024-01-23,75.91165,84.19212,0.109,剑桥科技
'300551,2024-01-23,73.00112,80.91808,0.108,古鳌科技
'603598,2024-01-23,37.89995,42.00814,0.108,引力传媒
'002229,2024-01-23,125.67572,139.22778,0.108,鸿博股份
'300377,2024-01-23,79.57282,88.09886,0.107,赢时胜
'002123,2024-01-23,81.807915,90.57334,0.107,梦网集团
'002445,2024-01-23,15.809875,17.492449,0.106,ST中南
'300097,2024-01-23,31.908598,35.299564,0.106,智云股份
'600178,2024-01-23,21.623255,23.90351,0.105,东安动力
