stock,date,score1,score2,pred_rate,name
'000017,2024-01-25,9.921328,18.598778,0.875,深中华A
'000005,2024-01-25,3.3049507,4.774082,0.445,世纪星源
'603958,2024-01-25,7.9813747,10.518593,0.318,哈森股份
'603603,2024-01-25,1.5822223,2.0715957,0.309,博天环境
'603099,2024-01-25,16.035816,20.513268,0.279,长白山
'603721,2024-01-25,32.857265,39.30508,0.196,中广天择
'300551,2024-01-25,71.04864,82.956345,0.168,古鳌科技
'600088,2024-01-25,35.615128,41.402115,0.162,中视传媒
'300364,2024-01-25,111.659454,129.52704,0.16,中文在线
'600156,2024-01-25,5.1324215,5.9535093,0.16,华升股份
'300210,2024-01-25,52.62456,61.008415,0.159,森远股份
'600715,2024-01-25,8.917464,10.29067,0.154,文投控股
'002862,2024-01-25,24.875189,28.688644,0.153,实丰文化
'002308,2024-01-25,16.264004,18.745054,0.153,威创股份
'600571,2024-01-25,92.225624,106.013916,0.15,信雅达
'603613,2024-01-25,101.48283,116.30606,0.146,国联股份
'600053,2024-01-25,33.2895,37.974022,0.141,九鼎投资
'601858,2024-01-25,23.312944,26.547333,0.139,中国科传
'000609,2024-01-25,31.848063,36.209312,0.137,中迪投资
'603363,2024-01-25,7.5765214,8.608088,0.136,傲农生物
'600083,2024-01-25,7.02883,7.9627185,0.133,博信股份
'300135,2024-01-25,38.803474,43.783436,0.128,宝利国际
'002919,2024-01-25,68.56833,77.24961,0.127,名臣健康
'002555,2024-01-25,227.81161,256.59018,0.126,三七互娱
'600136,2024-01-25,2.5304177,2.84851,0.126,当代明诚
'600636,2024-01-25,112.463486,126.59936,0.126,三爱富
'600355,2024-01-25,17.521109,19.710644,0.125,精伦电子
'600898,2024-01-25,4.8506284,5.450975,0.124,国美通讯
'603533,2024-01-25,18.773441,21.092648,0.124,掌阅科技
'600633,2024-01-25,58.623707,65.79712,0.122,浙数文化
'600178,2024-01-25,20.748238,23.280684,0.122,东安动力
'002558,2024-01-25,46.38446,52.005695,0.121,巨人网络
'603918,2024-01-25,58.19536,65.22574,0.121,金桥信息
'002123,2024-01-25,79.426155,88.91543,0.119,梦网集团
'603000,2024-01-25,104.37837,116.801315,0.119,人民网
'601900,2024-01-25,13.977226,15.612057,0.117,南方传媒
'600250,2024-01-25,22.059055,24.63821,0.117,南纺股份
'300654,2024-01-25,34.97149,39.05781,0.117,世纪天鸿
'002313,2024-01-25,26.29906,29.367306,0.117,日海智能
'002517,2024-01-25,62.657803,69.95479,0.116,恺英网络
'300148,2024-01-25,21.033052,23.47153,0.116,天舟文化
'000070,2024-01-25,18.629648,20.775738,0.115,特发信息
'300096,2024-01-25,24.898413,27.76502,0.115,易联众
'600358,2024-01-25,12.749218,14.205883,0.114,国旅联合
'000020,2024-01-25,21.507214,23.96036,0.114,深华发Ａ
'603888,2024-01-25,59.946304,66.70437,0.113,新华网
'300212,2024-01-25,230.20929,255.96909,0.112,易华录
'002229,2024-01-25,121.9151,135.48297,0.111,鸿博股份
'600678,2024-01-25,22.440208,24.896156,0.109,四川金顶
'603628,2024-01-25,15.196606,16.858894,0.109,清源股份
'300235,2024-01-25,57.993465,64.33569,0.109,方直科技
'300781,2024-01-25,51.377987,56.974247,0.109,因赛集团
'002343,2024-01-25,20.223923,22.411808,0.108,慈文传媒
'603178,2024-01-25,40.7482,45.05038,0.106,圣龙股份
'603863,2024-01-25,33.32466,36.84165,0.106,松炀资源
'601975,2024-01-25,1.0207268,1.1280239,0.105,招商南油
'600986,2024-01-25,23.316292,25.759195,0.105,科达股份
'000793,2024-01-25,18.71547,20.671944,0.105,华闻集团
'603023,2024-01-25,33.46521,36.95788,0.104,威帝股份
'300379,2024-01-25,110.0597,121.54296,0.104,东方通
'300380,2024-01-25,40.873463,45.11413,0.104,安硕信息
'300553,2024-01-25,42.64007,47.05511,0.104,集智股份
'600960,2024-01-25,12.93558,14.264459,0.103,渤海汽车
'000851,2024-01-25,10.144674,11.180977,0.102,高鸿股份
'603869,2024-01-25,13.466944,14.837623,0.102,新智认知
'300255,2024-01-25,92.23646,101.59733,0.101,常山药业
'300413,2024-01-25,40.416924,44.514126,0.101,芒果超媒
'300803,2024-01-25,50.71827,55.843884,0.101,指南针
'000628,2024-01-25,149.61931,164.64618,0.1,高新发展
'603083,2024-01-25,76.07272,83.64197,0.1,剑桥科技
'600730,2024-01-25,22.766615,25.031706,0.099,中国高科
'000710,2024-01-25,27.935968,30.713364,0.099,贝瑞基因
'002174,2024-01-25,35.470203,38.994736,0.099,游族网络
'300548,2024-01-25,66.729935,73.35685,0.099,博创科技
'000681,2024-01-25,52.86732,58.11078,0.099,视觉中国
'300280,2024-01-25,39.125195,43.00277,0.099,紫天科技
