stock,date,score1,score2,pred_rate,name
'300799,2024-01-19,40.88048,108.67923,1.658,左江科技
'000005,2024-01-19,2.556896,4.2115664,0.647,世纪星源
'000017,2024-01-19,9.859457,15.254446,0.547,深中华A
'603099,2024-01-19,13.66229,19.53864,0.43,长白山
'603603,2024-01-19,1.7233539,2.2341952,0.296,博天环境
'603628,2024-01-19,12.4758415,16.05837,0.287,清源股份
'300135,2024-01-19,38.21524,46.960777,0.229,宝利国际
'002740,2024-01-19,2.6716697,3.2127044,0.203,爱迪尔
'002708,2024-01-19,22.276548,26.668903,0.197,光洋股份
'600520,2024-01-19,43.071384,51.358402,0.192,文一科技
'002952,2024-01-19,53.942924,64.17178,0.19,亚世光电
'000889,2024-01-19,3.7575722,4.3758907,0.165,中嘉博创
'600678,2024-01-19,22.378956,25.89439,0.157,四川金顶
'600696,2024-01-19,43.82543,50.319466,0.148,ST岩石
'002395,2024-01-19,42.902294,49.235924,0.148,双象股份
'000564,2024-01-19,15.36013,17.589527,0.145,供销大集
'600898,2024-01-19,4.828913,5.524549,0.144,国美通讯
'603286,2024-01-19,24.52014,27.91773,0.139,日盈电子
'300093,2024-01-19,34.851902,39.597374,0.136,金刚玻璃
'300096,2024-01-19,28.366642,32.070694,0.131,易联众
'002211,2024-01-19,5.753441,6.5040154,0.13,宏达新材
'600661,2024-01-19,53.85353,60.878574,0.13,昂立教育
'300097,2024-01-19,30.67959,34.659454,0.13,智云股份
'002316,2024-01-19,15.97006,18.023457,0.129,亚联发展
'002584,2024-01-19,22.413595,25.258099,0.127,西陇科学
'000715,2024-01-19,28.253828,31.747864,0.124,中兴商业
'002882,2024-01-19,15.034834,16.885279,0.123,金龙羽
'300313,2024-01-19,18.636,20.86256,0.119,天山生物
'600571,2024-01-19,94.19366,105.404,0.119,信雅达
'603958,2024-01-19,9.099676,10.170119,0.118,哈森股份
'002868,2024-01-19,26.299234,29.390547,0.118,绿康生化
'603985,2024-01-19,105.53783,117.693855,0.115,恒润股份
'603038,2024-01-19,30.410938,33.819206,0.112,华立股份
'603333,2024-01-19,7.119529,7.9012923,0.11,尚纬股份
'300551,2024-01-19,77.50132,85.9856,0.109,古鳌科技
'300210,2024-01-19,54.87378,60.843758,0.109,森远股份
'600250,2024-01-19,22.259575,24.676178,0.109,南纺股份
'600593,2024-01-19,28.757471,31.822237,0.107,大连圣亚
'002451,2024-01-19,20.064726,22.191467,0.106,摩恩电气
'000628,2024-01-19,147.25183,162.84933,0.106,高新发展
'002779,2024-01-19,31.148182,34.369873,0.103,中坚科技
'603006,2024-01-19,27.247063,30.011328,0.101,联明股份
'600712,2024-01-19,23.519941,25.856438,0.099,南宁百货
'600444,2024-01-19,22.09758,24.251966,0.097,国机通用
'603066,2024-01-19,32.928112,36.115288,0.097,音飞储存
'603363,2024-01-19,8.125366,8.894989,0.095,傲农生物
'600133,2024-01-19,33.457626,36.616234,0.094,东湖高新
'603032,2024-01-19,28.33383,30.98425,0.094,德新交运
'300364,2024-01-19,113.93387,124.511665,0.093,中文在线
'002559,2024-01-19,70.696175,77.17994,0.092,亚威股份
'603388,2024-01-19,25.07129,27.359358,0.091,元成股份
'000802,2024-01-19,24.508575,26.72407,0.09,北京文化
'603268,2024-01-19,22.749968,24.80148,0.09,松发股份
'600318,2024-01-19,20.683367,22.541492,0.09,新力金融
'601975,2024-01-19,1.0492061,1.1425619,0.089,招商南油
'000532,2024-01-19,67.680305,73.69279,0.089,华金资本
'603399,2024-01-19,13.950874,15.188766,0.089,吉翔股份
'300506,2024-01-19,23.133457,25.179998,0.088,名家汇
'000710,2024-01-19,27.237854,29.637032,0.088,贝瑞基因
'600872,2024-01-19,347.26938,377.81006,0.088,中炬高新
'600630,2024-01-19,23.845926,25.938967,0.088,龙头股份
'600083,2024-01-19,7.3908973,8.038735,0.088,博信股份
'603199,2024-01-19,25.995451,28.27103,0.088,九华旅游
'002590,2024-01-19,50.756172,55.197918,0.088,万安科技
'300769,2024-01-19,288.21448,313.0238,0.086,德方纳米
'603955,2024-01-19,19.218428,20.856592,0.085,大千生态
'603530,2024-01-19,16.3849,17.779865,0.085,神马电力
'000020,2024-01-19,22.655062,24.582146,0.085,深华发Ａ
'600715,2024-01-19,9.75729,10.583273,0.085,文投控股
'300340,2024-01-19,40.833015,44.277664,0.084,科恒股份
'002385,2024-01-19,58.42653,63.353783,0.084,大北农
'002041,2024-01-19,169.35501,183.55878,0.084,登海种业
'002865,2024-01-19,96.19759,104.21004,0.083,钧达股份
'600981,2024-01-19,10.937636,11.845683,0.083,汇鸿集团
'300268,2024-01-19,24.083109,26.065298,0.082,佳沃股份
'002180,2024-01-19,101.34443,109.685036,0.082,纳思达
'600960,2024-01-19,12.942617,14.001985,0.082,渤海汽车
'002510,2024-01-19,19.510195,21.09965,0.081,天汽模
'002356,2024-01-19,27.169264,29.36747,0.081,*ST赫美
'000049,2024-01-19,171.51535,185.05339,0.079,德赛电池
'300053,2024-01-19,58.098103,62.646286,0.078,欧比特
'002333,2024-01-19,21.388828,23.055944,0.078,*ST罗普
'000982,2024-01-19,18.66293,20.102612,0.077,*ST 中绒
'000860,2024-01-19,52.125813,56.139362,0.077,顺鑫农业
'300377,2024-01-19,81.80705,88.08752,0.077,赢时胜
'002749,2024-01-19,71.44365,76.90732,0.076,国光股份
'600257,2024-01-19,38.842747,41.7813,0.076,大湖股份
'300131,2024-01-19,106.3656,114.379715,0.075,英唐智控
'000625,2024-01-19,142.40112,153.11151,0.075,长安汽车
'000659,2024-01-19,39.689407,42.66936,0.075,珠海中富
'300042,2024-01-19,102.032555,109.68324,0.075,朗科科技
'600148,2024-01-19,34.34723,36.90292,0.074,长春一东
'300260,2024-01-19,151.68895,162.97272,0.074,新莱应材
'002229,2024-01-19,127.33102,136.77168,0.074,鸿博股份
'002847,2024-01-19,103.68457,111.29402,0.073,盐津铺子
'000955,2024-01-19,9.28452,9.964148,0.073,欣龙控股
'600081,2024-01-19,79.36426,85.17073,0.073,东风科技
'002786,2024-01-19,45.21487,48.522068,0.073,银宝山新
'300762,2024-01-19,55.985397,60.076824,0.073,上海瀚讯
'603161,2024-01-19,15.980241,17.1431,0.073,科华控股
'002821,2024-01-19,322.60132,346.0535,0.073,凯莱英
'300169,2024-01-19,20.611057,22.101782,0.072,天晟新材
'300291,2024-01-19,52.478065,56.270546,0.072,华录百纳
'002667,2024-01-19,35.986458,38.580853,0.072,鞍重股份
'603069,2024-01-19,17.45147,18.709284,0.072,海汽集团
'603007,2024-01-19,12.734096,13.650265,0.072,花王股份
'600156,2024-01-19,5.2952895,5.675648,0.072,华升股份
'603098,2024-01-19,16.027454,17.178469,0.072,森特股份
'002085,2024-01-19,35.875225,38.444405,0.072,万丰奥威
'300763,2024-01-19,269.91495,289.04718,0.071,锦浪科技
'000976,2024-01-19,6.3186917,6.7649856,0.071,华铁股份
'000851,2024-01-19,10.261484,10.985817,0.071,高鸿股份
'600288,2024-01-19,36.23349,38.79074,0.071,大恒科技
'603036,2024-01-19,14.456604,15.475485,0.07,如通股份
'603026,2024-01-19,45.00877,48.1779,0.07,石大胜华
'300395,2024-01-19,236.93481,253.5778,0.07,菲利华
'002548,2024-01-19,26.548866,28.404432,0.07,金新农
'300783,2024-01-19,17.805246,19.046772,0.07,三只松鼠
'002610,2024-01-19,24.523596,26.228241,0.07,爱康科技
'002456,2024-01-19,164.9894,176.44003,0.069,欧菲光
'603108,2024-01-19,105.23483,112.513214,0.069,润达医疗
