stock,date,score1,score2,pred_rate,name
'300799,2024-01-22,39.20918,107.52182,1.742,左江科技
'000017,2024-01-22,9.842614,15.386568,0.563,深中华A
'000005,2024-01-22,3.0476272,4.279731,0.404,世纪星源
'603603,2024-01-22,1.615258,2.2119358,0.369,博天环境
'603099,2024-01-22,14.624482,19.613722,0.341,长白山
'603628,2024-01-22,13.897912,17.181255,0.236,清源股份
'600630,2024-01-22,23.90505,28.52013,0.193,龙头股份
'002708,2024-01-22,22.47847,26.658512,0.186,光洋股份
'300135,2024-01-22,38.506695,45.06197,0.17,宝利国际
'603958,2024-01-22,8.969036,10.181563,0.135,哈森股份
'002952,2024-01-22,59.264797,67.12705,0.133,亚世光电
'600302,2024-01-22,12.546232,14.155127,0.128,标准股份
'603333,2024-01-22,7.1590767,8.022616,0.121,尚纬股份
'600156,2024-01-22,5.204438,5.8264165,0.12,华升股份
'300096,2024-01-22,28.657013,32.05696,0.119,易联众
'603985,2024-01-22,105.391266,117.800476,0.118,恒润股份
'300553,2024-01-22,43.45212,48.479713,0.116,集智股份
'002868,2024-01-22,26.147028,29.16333,0.115,绿康生化
'600696,2024-01-22,44.758778,49.82428,0.113,ST岩石
'600318,2024-01-22,21.083357,23.465519,0.113,新力金融
'603363,2024-01-22,7.8913083,8.760133,0.11,傲农生物
'002779,2024-01-22,31.370846,34.78469,0.109,中坚科技
'300097,2024-01-22,31.090174,34.417847,0.107,智云股份
'603803,2024-01-22,8.310256,9.184022,0.105,瑞斯康达
'300313,2024-01-22,18.84399,20.760252,0.102,天山生物
'600780,2024-01-22,81.3183,89.484886,0.1,通宝能源
'600198,2024-01-22,3.116066,3.4282675,0.1,大唐电信
'603530,2024-01-22,16.19924,17.814886,0.1,神马电力
'603066,2024-01-22,33.28498,36.559418,0.098,音飞储存
'600678,2024-01-22,22.551132,24.762362,0.098,四川金顶
'002229,2024-01-22,127.254166,139.614,0.097,鸿博股份
'002510,2024-01-22,19.271545,21.09586,0.095,天汽模
'002395,2024-01-22,47.277786,51.746834,0.095,双象股份
'603026,2024-01-22,44.16331,48.291584,0.093,石大胜华
'603098,2024-01-22,15.977079,17.467377,0.093,森特股份
'603108,2024-01-22,104.87062,114.652275,0.093,润达医疗
'300769,2024-01-22,285.6894,312.0537,0.092,德方纳米
'002316,2024-01-22,16.295391,17.796621,0.092,亚联发展
'603038,2024-01-22,32.52496,35.51974,0.092,华立股份
'300269,2024-01-22,19.983612,21.819944,0.092,联建光电
'600241,2024-01-22,14.6039295,15.942565,0.092,时代万恒
'300210,2024-01-22,54.894627,59.890278,0.091,森远股份
'000710,2024-01-22,27.943718,30.485228,0.091,贝瑞基因
'002927,2024-01-22,35.29597,38.47474,0.09,泰永长征
'002548,2024-01-22,26.246763,28.591597,0.089,金新农
'300552,2024-01-22,53.163097,57.894016,0.089,万集科技
'000049,2024-01-22,170.30324,185.34674,0.088,德赛电池
'603728,2024-01-22,78.178,85.02488,0.088,鸣志电器
'000532,2024-01-22,68.72914,74.74328,0.088,华金资本
'300101,2024-01-22,159.35803,173.23639,0.087,振芯科技
'300380,2024-01-22,40.967255,44.527225,0.087,安硕信息
'002123,2024-01-22,84.022446,91.31231,0.087,梦网集团
'002433,2024-01-22,10.758207,11.69158,0.087,太安堂
'603286,2024-01-22,24.614796,26.75011,0.087,日盈电子
'603596,2024-01-22,62.900906,68.35338,0.087,伯特利
'600355,2024-01-22,18.951294,20.580563,0.086,精伦电子
'002766,2024-01-22,10.604071,11.515612,0.086,*ST索菱
'300379,2024-01-22,115.11969,125.015015,0.086,东方通
'300395,2024-01-22,231.2524,250.95743,0.085,菲利华
'002211,2024-01-22,5.7753625,6.263707,0.085,宏达新材
'300601,2024-01-22,64.50158,69.91856,0.084,康泰生物
'600898,2024-01-22,5.0377297,5.460481,0.084,国美通讯
'002129,2024-01-22,75.74059,82.08941,0.084,中环股份
'002865,2024-01-22,98.12705,106.3328,0.084,钧达股份
'000638,2024-01-22,28.233017,30.582802,0.083,万方发展
'300593,2024-01-22,56.559513,61.23392,0.083,新雷能
'300053,2024-01-22,57.704353,62.455284,0.082,欧比特
'603955,2024-01-22,19.783781,21.405315,0.082,大千生态
'603000,2024-01-22,110.52829,119.55866,0.082,人民网
'603496,2024-01-22,81.03285,87.64449,0.082,恒为科技
'000570,2024-01-22,20.28788,21.935427,0.081,苏常柴Ａ
'000635,2024-01-22,25.13303,27.17395,0.081,英 力 特
'002410,2024-01-22,274.7466,296.9634,0.081,广联达
'603023,2024-01-22,34.49181,37.280327,0.081,威帝股份
'600807,2024-01-22,20.855303,22.530636,0.08,ST天业
'300167,2024-01-22,20.630955,22.288227,0.08,迪威迅
'002641,2024-01-22,29.601486,31.971485,0.08,永高股份
'300122,2024-01-22,339.8971,367.0655,0.08,智飞生物
'300454,2024-01-22,67.94844,73.37102,0.08,深信服
'300366,2024-01-22,73.05818,78.855316,0.079,创意信息
'601858,2024-01-22,24.732487,26.68569,0.079,中国科传
'600579,2024-01-22,12.953612,13.976132,0.079,克劳斯
'600960,2024-01-22,12.962933,13.984539,0.079,渤海汽车
'300280,2024-01-22,39.63135,42.747375,0.079,紫天科技
'000625,2024-01-22,140.77318,151.8254,0.079,长安汽车
'603083,2024-01-22,76.1717,82.11943,0.078,剑桥科技
'600571,2024-01-22,96.52154,104.02006,0.078,信雅达
'600083,2024-01-22,7.1508584,7.7057257,0.078,博信股份
'300351,2024-01-22,83.96305,90.47397,0.078,永贵电器
'603199,2024-01-22,26.386858,28.428368,0.077,九华旅游
'000860,2024-01-22,52.064056,56.09189,0.077,顺鑫农业
'600136,2024-01-22,2.639057,2.8429668,0.077,当代明诚
'002456,2024-01-22,163.85213,176.50844,0.077,欧菲光
'603383,2024-01-22,93.00934,100.19086,0.077,顶点软件
'300551,2024-01-22,75.671555,81.46432,0.077,古鳌科技
'603918,2024-01-22,60.364666,64.96228,0.076,金桥信息
'603577,2024-01-22,19.079956,20.529661,0.076,汇金通
'000572,2024-01-22,17.02802,18.32041,0.076,*ST 海马
'000564,2024-01-22,16.426897,17.666647,0.075,供销大集
'600765,2024-01-22,172.82552,185.8489,0.075,中航重机
'300131,2024-01-22,104.93519,112.8207,0.075,英唐智控
'603189,2024-01-22,16.230213,17.443504,0.075,网达软件
'002180,2024-01-22,101.72315,109.27749,0.074,纳思达
'000955,2024-01-22,9.203666,9.884263,0.074,欣龙控股
'600593,2024-01-22,29.99737,32.21561,0.074,大连圣亚
'000058,2024-01-22,18.06158,19.39592,0.074,深 赛 格
'002893,2024-01-22,18.322971,19.669724,0.074,华通热力
'300495,2024-01-22,13.011085,13.9656515,0.073,美尚生态
'000020,2024-01-22,22.401997,24.041506,0.073,深华发Ａ
'000068,2024-01-22,7.92722,8.507085,0.073,华控赛格
'300580,2024-01-22,43.58341,46.76298,0.073,贝斯特
'300620,2024-01-22,94.888435,101.75317,0.072,光库科技
'000628,2024-01-22,151.78716,162.75093,0.072,高新发展
'300798,2024-01-22,9.551609,10.241303,0.072,锦鸡股份
'000568,2024-01-22,3504.2256,3756.7424,0.072,泸州老窖
'300432,2024-01-22,78.827255,84.48146,0.072,富临精工
'300745,2024-01-22,25.5968,27.430923,0.072,欣锐科技
'300656,2024-01-22,60.836212,65.17719,0.071,民德电子
'000759,2024-01-22,28.205553,30.200623,0.071,中百集团
'600199,2024-01-22,68.192345,73.014435,0.071,金种子酒
'300558,2024-01-22,49.7756,53.288303,0.071,贝达药业
'300203,2024-01-22,16.466072,17.626015,0.07,聚光科技
'002723,2024-01-22,28.125084,30.097824,0.07,金莱特
'600306,2024-01-22,17.511227,18.737198,0.07,商业城
'300751,2024-01-22,489.92468,524.0764,0.07,迈为股份
'002812,2024-01-22,178.32881,190.75853,0.07,恩捷股份
'603569,2024-01-22,18.266205,19.539242,0.07,长久物流
'600885,2024-01-22,141.08401,150.88692,0.069,宏发股份
'000681,2024-01-22,55.11583,58.935444,0.069,视觉中国
'002531,2024-01-22,80.85989,86.45253,0.069,天顺风能
'002749,2024-01-22,72.7833,77.81089,0.069,国光股份
'300229,2024-01-22,81.09029,86.65752,0.069,拓尔思
'300806,2024-01-22,46.728065,49.93507,0.069,斯迪克
'300377,2024-01-22,82.18653,87.82586,0.069,赢时胜
'600257,2024-01-22,38.831383,41.49201,0.069,大湖股份
'300682,2024-01-22,22.716442,24.269901,0.068,朗新科技
'603348,2024-01-22,35.427708,37.836136,0.068,文灿股份
'603110,2024-01-22,48.56308,51.85823,0.068,东方材料
'603220,2024-01-22,32.27176,34.460846,0.068,中贝通信
'603217,2024-01-22,42.628223,45.512356,0.068,元利科技
'600435,2024-01-22,104.413155,111.47431,0.068,北方导航
'000428,2024-01-22,40.451256,43.18612,0.068,华天酒店
'603138,2024-01-22,50.77888,54.20693,0.068,海量数据
'002333,2024-01-22,22.54369,24.062222,0.067,*ST罗普
'300260,2024-01-22,151.74242,161.95557,0.067,新莱应材
'603369,2024-01-22,119.54321,127.57421,0.067,今世缘
'600081,2024-01-22,78.516136,83.78553,0.067,东风科技
'002041,2024-01-22,168.1559,179.43163,0.067,登海种业
'000670,2024-01-22,87.96219,93.858284,0.067,*ST盈方
'300045,2024-01-22,169.50691,180.86824,0.067,华力创通
'600702,2024-01-22,289.72137,309.12085,0.067,舍得酒业
'000037,2024-01-22,42.183247,45.004738,0.067,深南电A
'600725,2024-01-22,17.582617,18.758339,0.067,ST云维
'603306,2024-01-22,54.581104,58.22406,0.067,华懋科技
'600981,2024-01-22,10.886438,11.611576,0.067,汇鸿集团
'600602,2024-01-22,5363.798,5720.946,0.067,云赛智联
'002848,2024-01-22,11.236138,11.98153,0.066,高斯贝尔
'600872,2024-01-22,353.67386,377.05252,0.066,中炬高新
'603517,2024-01-22,38.632473,41.185184,0.066,绝味食品
'603007,2024-01-22,13.104074,13.968813,0.066,花王股份
'300268,2024-01-22,24.067923,25.655891,0.066,佳沃股份
'300212,2024-01-22,245.66743,261.8686,0.066,易华录
'000733,2024-01-22,103.63686,110.44331,0.066,振华科技
'002085,2024-01-22,35.764187,38.11204,0.066,万丰奥威
'603389,2024-01-22,8.133704,8.666113,0.065,亚振家居
'300413,2024-01-22,41.41852,44.127804,0.065,芒果超媒
'002385,2024-01-22,58.703045,62.542633,0.065,大北农
'603595,2024-01-22,65.58666,69.87551,0.065,东尼电子
'300081,2024-01-22,48.619995,51.795418,0.065,恒信东方
'600712,2024-01-22,23.774773,25.32185,0.065,南宁百货
'300291,2024-01-22,52.678707,56.101658,0.065,华录百纳
'300662,2024-01-22,27.045094,28.798735,0.065,科锐国际
'002693,2024-01-22,24.70207,26.303648,0.065,双成药业
'002559,2024-01-22,71.36574,75.989174,0.065,亚威股份
'603861,2024-01-22,9.703373,10.331582,0.065,白云电器
'002235,2024-01-22,32.37073,34.4647,0.065,安妮股份
'002847,2024-01-22,103.99299,110.71721,0.065,盐津铺子
'603938,2024-01-22,42.506626,45.250854,0.065,三孚股份
'300094,2024-01-22,11.118925,11.834818,0.064,国联水产
'600212,2024-01-22,19.120531,20.349981,0.064,江泉实业
'600570,2024-01-22,758.4141,806.9833,0.064,恒生电子
'603659,2024-01-22,81.92298,87.15701,0.064,璞泰来
'300567,2024-01-22,231.73724,246.54128,0.064,精测电子
'002459,2024-01-22,48.248783,51.320568,0.064,晶澳科技
'002074,2024-01-22,83.24329,88.528076,0.063,国轩高科
