stock,date,score1,score2,pred_rate,name
'300799,2024-01-18,31.821884,119.12568,2.744,左江科技
'603099,2024-01-18,13.340753,19.15375,0.436,长白山
'000017,2024-01-18,10.984301,14.933757,0.36,深中华A
'603603,2024-01-18,1.801078,2.2887115,0.271,博天环境
'300135,2024-01-18,37.878227,47.808006,0.262,宝利国际
'000005,2024-01-18,3.2715135,4.0671334,0.243,世纪星源
'603628,2024-01-18,12.616816,15.38115,0.219,清源股份
'600520,2024-01-18,42.541508,50.89237,0.196,文一科技
'000564,2024-01-18,15.098237,17.98393,0.191,供销大集
'300097,2024-01-18,30.336485,35.17616,0.16,智云股份
'002740,2024-01-18,2.8382215,3.2787142,0.155,爱迪尔
'600593,2024-01-18,27.060883,31.140541,0.151,大连圣亚
'002331,2024-01-18,43.80258,50.19268,0.146,皖通科技
'002868,2024-01-18,26.604006,30.416662,0.143,绿康生化
'600306,2024-01-18,15.77434,18.02701,0.143,商业城
'002708,2024-01-18,23.216911,26.52691,0.143,光洋股份
'603286,2024-01-18,25.283451,28.60296,0.131,日盈电子
'300096,2024-01-18,28.667265,32.39075,0.13,易联众
'603985,2024-01-18,106.638954,120.46578,0.13,恒润股份
'601975,2024-01-18,1.0381371,1.1702493,0.127,招商南油
'600898,2024-01-18,4.970542,5.5968857,0.126,国美通讯
'300313,2024-01-18,18.506882,20.74174,0.121,天山生物
'002089,2024-01-18,13.702913,15.246271,0.113,*ST新海
'600696,2024-01-18,45.697624,50.787525,0.111,ST岩石
'603006,2024-01-18,28.13672,31.09855,0.105,联明股份
'002395,2024-01-18,43.30806,47.793747,0.104,双象股份
'002641,2024-01-18,29.735107,32.799744,0.103,永高股份
'300225,2024-01-18,68.4156,75.42537,0.102,金力泰
'002952,2024-01-18,56.44872,62.159855,0.101,亚世光电
'000710,2024-01-18,27.838467,30.651743,0.101,贝瑞基因
'603266,2024-01-18,53.74397,59.157516,0.101,天龙股份
'300210,2024-01-18,56.426502,62.08144,0.1,森远股份
'300551,2024-01-18,81.62351,89.60745,0.098,古鳌科技
'000766,2024-01-18,70.12984,76.825775,0.095,通化金马
'002882,2024-01-18,15.500854,16.97851,0.095,金龙羽
'300742,2024-01-18,10.376676,11.312528,0.09,越博动力
'300282,2024-01-18,12.346308,13.456493,0.09,三盛教育
'000889,2024-01-18,3.956392,4.3018756,0.087,中嘉博创
'600250,2024-01-18,22.241901,24.17967,0.087,南纺股份
'000903,2024-01-18,23.724895,25.77887,0.087,云内动力
'000625,2024-01-18,145.19006,157.7214,0.086,长安汽车
'002211,2024-01-18,5.767694,6.263164,0.086,宏达新材
'300506,2024-01-18,23.282257,25.227777,0.084,名家汇
'600178,2024-01-18,22.54201,24.404922,0.083,东安动力
'600287,2024-01-18,22.167353,23.988049,0.082,江苏舜天
'600630,2024-01-18,22.476768,24.304825,0.081,龙头股份
'000638,2024-01-18,28.790333,31.129892,0.081,万方发展
'600960,2024-01-18,13.252727,14.313419,0.08,渤海汽车
'002728,2024-01-18,56.800983,61.328957,0.08,特一药业
'600698,2024-01-18,21.11236,22.766972,0.078,*ST天雁
'000851,2024-01-18,10.39658,11.21005,0.078,高鸿股份
'603729,2024-01-18,43.21601,46.517834,0.076,龙韵股份
'603955,2024-01-18,19.418688,20.879395,0.075,大千生态
'603178,2024-01-18,42.776894,45.915688,0.073,圣龙股份
'600780,2024-01-18,84.46522,90.65425,0.073,通宝能源
