,公司代码 ,Name,code,上市日期
166,300250,初灵信息,'300250,2011/8/3
167,2450,*ST康得,'002450,2010/7/16
168,155,川能动力,'000155,2000/9/26
169,300216,千山药机,'300216,2011/5/11
170,300149,量子生物,'300149,2010/12/22
171,600273,  嘉化能源,'600273,  2003-06-27
172,600262,  北方股份,'600262,  2000-06-30
173,627,天茂集团,'000627,1996/11/12
174,300491,通合科技,'300491,2015/12/31
175,30,富奥股份,'000030,1993/9/29
176,300710,万隆光电,'300710,2017/10/19
177,600865,  百大集团,'600865,  1994-08-09
178,2395,双象股份,'002395,2010/4/29
179,2323,ST百特,'002323,2009/12/18
180,300462,华铭智能,'300462,2015/5/27
181,2495,佳隆股份,'002495,2010/11/2
182,2301,齐心集团,'002301,2009/10/21
183,2194,武汉凡谷,'002194,2007/12/7
184,300568,星源材质,'300568,2016/12/1
185,300241,瑞丰光电,'300241,2011/7/12
186,600039,  四川路桥,'600039,  2003-03-25
187,603368,  柳药股份,'603368,  2014-12-04
188,600321,  ST正源,'600321,  2001-05-24
189,2346,柘中股份,'002346,2010/1/28
190,2158,汉钟精机,'002158,2007/8/17
191,2696,百洋股份,'002696,2012/9/5
192,601818,  光大银行,'601818,  2010-08-18
193,2060,粤 水 电,'002060,2006/8/10
194,2388,新亚制程,'002388,2010/4/13
195,600532,  宏达矿业,'600532,  2002-10-31
196,600355,  精伦电子,'600355,  2002-06-13
197,2503,搜于特,'002503,2010/11/17
198,600986,  科达股份,'600986,  2004-04-26
199,2159,三特索道,'002159,2007/8/17
200,300799,左江科技,'300799,2019/10/29
201,600189,  吉林森工,'600189,  1998-10-07
202,524,岭南控股,'000524,1993/11/18
203,603638,  艾迪精密,'603638,  2017-01-20
204,600621,  华鑫股份,'600621,  1992-12-02
205,300347,泰格医药,'300347,2012/8/17
206,603843,  正平股份,'603843,  2016-09-05
207,601369,  陕鼓动力,'601369,  2010-04-28
208,551,创元科技,'000551,1994/1/6
209,603879,  永悦科技,'603879,  2017-06-14
210,49,德赛电池,'000049,1995/3/20
211,300180,华峰超纤,'300180,2011/2/22
212,2760,凤形股份,'002760,2015/6/11
213,603396,  金辰股份,'603396,  2017-10-18
214,2393,力生制药,'002393,2010/4/23
215,300252,金信诺,'300252,2011/8/18
216,601177,  杭齿前进,'601177,  2010-10-11
217,601222,  林洋能源,'601222,  2011-08-08
218,750,国海证券,'000750,1997/7/9
219,603329,  上海雅仕,'603329,  2017-12-29
220,300594,朗进科技,'300594,2019/6/21
221,300125,易世达,'300125,2010/10/13
222,2887,绿茵生态,'002887,2017/8/1
223,603031,  安德利,'603031,  2016-08-22
224,600026,  中远海能,'600026,  2002-05-23
225,2676,顺威股份,'002676,2012/5/25
226,603088,  宁波精达,'603088,  2014-11-11
227,600325,  华发股份,'600325,  2004-02-25
228,2692,ST远程,'002692,2012/8/8
229,601005,  重庆钢铁,'601005,  2007-02-28
230,69,华侨城Ａ,'000069,1997/9/10
231,2739,万达电影,'002739,2015/1/22
232,300693,盛弘股份,'300693,2017/8/22
233,2320,海峡股份,'002320,2009/12/16
234,875,吉电股份,'000875,2002/9/26
235,2080,中材科技,'002080,2006/11/20
236,2216,三全食品,'002216,2008/2/20
237,600600,  青岛啤酒,'600600,  1993-08-27
238,601225,  陕西煤业,'601225,  2014-01-28
239,2264,新 华 都,'002264,2008/7/31
240,300800,力合科技,'300800,2019/11/6
241,2630,华西能源,'002630,2011/11/11
242,2312,三泰控股,'002312,2009/12/3
243,2541,鸿路钢构,'002541,2011/1/18
244,2856,美芝股份,'002856,2017/3/20
245,603011,  合锻智能,'603011,  2014-11-07
246,2200,*ST云投,'002200,2007/12/21
247,600385,  *ST金泰,'600385,  2001-07-23
248,600386,  北巴传媒,'600386,  2001-02-16
249,2587,奥拓电子,'002587,2011/6/10
250,2482,广田集团,'002482,2010/9/29
251,601226,  华电重工,'601226,  2014-12-11
252,300089,文化长城,'300089,2010/6/25
253,2248,华东数控,'002248,2008/6/12
254,300699,光威复材,'300699,2017/9/1
255,2665,首航高科,'002665,2012/3/27
256,2126,银轮股份,'002126,2007/4/18
257,2217,合力泰,'002217,2008/2/20
258,603036,  如通股份,'603036,  2016-12-09
259,603996,  ST中新,'603996,  2015-12-22
260,300339,润和软件,'300339,2012/7/18
261,600029,  南方航空,'600029,  2003-07-25
262,300502,新易盛,'300502,2016/3/3
263,601996,  丰林集团,'601996,  2011-09-29
264,300254,仟源医药,'300254,2011/8/19
265,300155,安居宝,'300155,2011/1/7
266,601021,  春秋航空,'601021,  2015-01-21
267,300639,凯普生物,'300639,2017/4/12
268,603279,  景津环保,'603279,  2019-07-29
269,603335,  迪生力,'603335,  2017-06-20
270,300123,亚光科技,'300123,2010/9/28
271,603099,  长白山,'603099,  2014-08-22
272,612,焦作万方,'000612,1996/9/26
273,600405,  动力源,'600405,  2004-04-01
274,605,渤海股份,'000605,1996/9/13
275,300588,熙菱信息,'300588,2017/1/5
276,603596,  伯特利,'603596,  2018-04-27
277,603229,  奥翔药业,'603229,  2017-05-09
278,935,四川双马,'000935,1999/8/24
279,2813,路畅科技,'002813,2016/10/12
280,600323,  瀚蓝环境,'600323,  2000-12-25
281,300355,蒙草生态,'300355,2012/9/27
282,2773,康弘药业,'002773,2015/6/26
283,565,渝三峡Ａ,'000565,1994/4/8
284,2108,沧州明珠,'002108,2007/1/24
285,2247,聚力文化,'002247,2008/6/12
286,300511,雪榕生物,'300511,2016/5/4
287,972,ST中基,'000972,2000/9/26
288,2233,塔牌集团,'002233,2008/5/16
289,600983,  惠而浦,'600983,  2004-07-27
290,600100,  同方股份,'600100,  1997-06-27
291,603223,  恒通股份,'603223,  2015-06-30
292,601881,  中国银河,'601881,  2017-01-23
293,300770,新媒股份,'300770,2019/4/19
294,600350,  山东高速,'600350,  2002-03-18
295,603330,  上海天洋,'603330,  2017-02-13
296,757,浩物股份,'000757,1997/6/27
297,600196,  复星医药,'600196,  1998-08-07
298,603488,  展鹏科技,'603488,  2017-05-16
299,601669,  中国电建,'601669,  2011-10-18
300,300325,德威新材,'300325,2012/6/1
301,603156,  养元饮品,'603156,  2018-02-12
302,300422,博世科,'300422,2015/2/17
303,603020,  爱普股份,'603020,  2015-03-25
304,603083,  剑桥科技,'603083,  2017-11-10
305,686,东北证券,'000686,1997/2/27
306,600668,  尖峰集团,'600668,  1993-07-28
307,600228,  ST昌九,'600228,  1999-01-19
308,2830,名雕股份,'002830,2016/12/13
309,300368,汇金股份,'300368,2014/1/23
310,600543,  莫高股份,'600543,  2004-03-24
311,603889,  新澳股份,'603889,  2014-12-31
312,300753,爱朋医疗,'300753,2018/12/13
313,603613,  国联股份,'603613,  2019-07-30
314,300752,隆利科技,'300752,2018/11/30
315,600655,  豫园股份,'600655,  1992-09-02
316,300159,新研股份,'300159,2011/1/7
317,603993,  洛阳钼业,'603993,  2012-10-09
318,2829,星网宇达,'002829,2016/12/13
319,2625,光启技术,'002625,2011/11/3
320,718,苏宁环球,'000718,1997/4/8
321,2683,宏大爆破,'002683,2012/6/12
322,2192,融捷股份,'002192,2007/12/5
323,2069,獐子岛,'002069,2006/9/28
324,300381,溢多利,'300381,2014/1/28
325,600760,  中航沈飞,'600760,  1996-10-11
326,600468,  百利电气,'600468,  2001-06-15
327,2946,新乳业,'002946,2019/1/25
328,600888,  新疆众和,'600888,  1996-02-15
329,300463,迈克生物,'300463,2015/5/28
330,603825,  华扬联众,'603825,  2017-08-02
331,2078,太阳纸业,'002078,2006/11/16
332,425,徐工机械,'000425,1996/8/28
333,600458,  时代新材,'600458,  2002-12-19
334,600722,  金牛化工,'600722,  1996-06-26
335,600577,  精达股份,'600577,  2002-09-11
336,600495,  晋西车轴,'600495,  2004-05-26
337,300583,赛托生物,'300583,2017/1/6
338,2536,飞龙股份,'002536,2011/1/11
339,600491,  龙元建设,'600491,  2004-05-24
340,601579,  会稽山,'601579,  2014-08-25
341,600448,  华纺股份,'600448,  2001-09-03
342,2769,普路通,'002769,2015/6/29
343,600583,  海油工程,'600583,  2002-02-05
344,600376,  首开股份,'600376,  2001-03-12
345,601098,  中南传媒,'601098,  2010-10-28
346,600208,  新湖中宝,'600208,  1999-06-23
347,600004,  白云机场,'600004,  2003-04-28
348,600573,  惠泉啤酒,'600573,  2003-02-26
349,2497,雅化集团,'002497,2010/11/9
350,4,国农科技,'000004,1990/12/1
351,603856,  东宏股份,'603856,  2017-11-06
352,600824,  益民集团,'600824,  1994-02-04
353,600240,  *ST华业,'600240,  2000-06-28
354,601777,  力帆股份,'601777,  2010-11-25
355,2193,如意集团,'002193,2007/12/7
356,600335,  国机汽车,'600335,  2001-03-05
357,710,贝瑞基因,'000710,1997/4/22
358,600830,  香溢融通,'600830,  1994-02-24
359,600742,  一汽富维,'600742,  1996-08-26
360,300160,秀强股份,'300160,2011/1/13
361,600841,  上柴股份,'600841,  1994-03-11
362,603881,  数据港,'603881,  2017-02-08
363,2737,葵花药业,'002737,2014/12/30
364,603002,  宏昌电子,'603002,  2012-05-18
365,600255,  梦舟股份,'600255,  2000-11-22
366,603311,  金海环境,'603311,  2015-05-18
367,2618,丹邦科技,'002618,2011/9/20
368,2736,国信证券,'002736,2014/12/29
369,600243,  青海华鼎,'600243,  2000-11-20
370,600751,  海航科技,'600751,  1996-09-09
371,601615,  明阳智能,'601615,  2019-01-23
372,600109,  国金证券,'600109,  1997-08-07
373,2401,中远海科,'002401,2010/5/6
374,600020,  中原高速,'600020,  2003-08-08
375,625,长安汽车,'000625,1997/6/10
376,2387,维信诺,'002387,2010/4/13
377,2595,豪迈科技,'002595,2011/6/28
378,912,泸天化,'000912,1999/6/3
379,2626,金达威,'002626,2011/10/28
380,681,视觉中国,'000681,1997/1/21
381,300429,强力新材,'300429,2015/3/24
382,876,新 希 望,'000876,1998/3/11
383,2285,世联行,'002285,2009/8/28
384,600850,  华东电脑,'600850,  1994-03-24
385,603706,  东方环宇,'603706,  2018-07-09
386,600589,  广东榕泰,'600589,  2001-06-12
387,919,金陵药业,'000919,1999/11/18
388,507,珠海港,'000507,1993/3/26
389,600862,  中航高科,'600862,  1994-05-20
390,670,*ST盈方,'000670,1996/12/17
391,603165,  荣晟环保,'603165,  2017-01-17
392,603303,  得邦照明,'603303,  2017-03-30
393,2068,黑猫股份,'002068,2006/9/15
394,2700,新疆浩源,'002700,2012/9/21
395,300133,华策影视,'300133,2010/10/26
396,603569,  长久物流,'603569,  2016-08-10
397,2945,华林证券,'002945,2019/1/17
398,300312,邦讯技术,'300312,2012/5/8
399,2639,雪人股份,'002639,2011/12/5
400,603689,  皖天然气,'603689,  2017-01-10
401,598,兴蓉环境,'000598,1996/5/29
402,300187,永清环保,'300187,2011/3/8
403,300724,捷佳伟创,'300724,2018/8/10
404,2577,雷柏科技,'002577,2011/4/28
405,2817,黄山胶囊,'002817,2016/10/25
406,600226,  瀚叶股份,'600226,  1999-11-16
407,300362,天翔环境,'300362,2014/1/21
408,510,新金路,'000510,1993/5/7
409,2836,新宏泽,'002836,2016/12/29
410,2185,华天科技,'002185,2007/11/20
411,300405,科隆股份,'300405,2014/10/30
412,300214,日科化学,'300214,2011/5/11
413,600606,  绿地控股,'600606,  1992-03-27
414,300161,华中数控,'300161,2011/1/13
415,633,合金投资,'000633,1996/11/12
416,786,北新建材,'000786,1997/6/6
417,300688,创业黑马,'300688,2017/8/10
418,600587,  新华医疗,'600587,  2002-09-27
419,300730,科创信息,'300730,2017/12/5
420,2466,天齐锂业,'002466,2010/8/31
421,300809,华辰装备,'300809,2019/12/4
422,300075,数字政通,'300075,2010/4/27
423,300448,浩云科技,'300448,2015/4/24
424,300279,和晶科技,'300279,2011/12/29
425,600173,  卧龙地产,'600173,  1999-04-15
426,603183,  建研院,'603183,  2017-09-05
427,300193,佳士科技,'300193,2011/3/22
428,600739,  辽宁成大,'600739,  1996-08-19
429,300371,汇中股份,'300371,2014/1/23
430,2416,爱施德,'002416,2010/5/28
431,2407,多氟多,'002407,2010/5/18
432,300321,同大股份,'300321,2012/5/23
433,600715,  文投控股,'600715,  1996-07-01
434,300148,天舟文化,'300148,2010/12/15
435,600732,  ST爱旭,'600732,  1996-08-16
436,603628,  清源股份,'603628,  2017-01-12
437,601952,  苏垦农发,'601952,  2017-05-15
438,603595,  东尼电子,'603595,  2017-07-12
439,601801,  皖新传媒,'601801,  2010-01-18
440,300184,力源信息,'300184,2011/2/22
441,300018,中元股份,'300018,2009/10/30
442,300242,佳云科技,'300242,2011/7/12
443,860,顺鑫农业,'000860,1998/11/4
444,300114,中航电测,'300114,2010/8/27
445,600917,  重庆燃气,'600917,  2014-09-30
446,300251,光线传媒,'300251,2011/8/3
447,600302,  标准股份,'600302,  2000-12-13
448,2688,金河生物,'002688,2012/7/13
449,2031,巨轮智能,'002031,2004/8/16
450,2483,润邦股份,'002483,2010/9/29
451,600926,  杭州银行,'600926,  2016-10-27
452,881,中广核技,'000881,1998/9/2
453,300442,普丽盛,'300442,2015/4/24
454,603983,  丸美股份,'603983,  2019-07-25
455,601636,  旗滨集团,'601636,  2011-08-12
456,555,神州信息,'000555,1994/4/8
457,300394,天孚通信,'300394,2015/2/17
458,151,中成股份,'000151,2000/9/6
459,2697,红旗连锁,'002697,2012/9/5
460,601588,  北辰实业,'601588,  2006-10-16
461,2433,太安堂,'002433,2010/6/18
462,300531,优博讯,'300531,2016/8/9
463,603533,  掌阅科技,'603533,  2017-09-21
464,2460,赣锋锂业,'002460,2010/8/10
465,300282,三盛教育,'300282,2011/12/29
466,600179,  ST安通,'600179,  1998-11-04
467,2627,宜昌交运,'002627,2011/11/3
468,300062,中能电气,'300062,2010/3/19
469,300743,天地数码,'300743,2018/4/27
470,603568,  伟明环保,'603568,  2015-05-28
471,2358,森源电气,'002358,2010/2/10
472,68,华控赛格,'000068,1997/6/11
473,300064,豫金刚石,'300064,2010/3/26
474,300674,宇信科技,'300674,2018/11/7
475,600989,  宝丰能源,'600989,  2019-05-16
476,571,*ST大洲,'000571,1994/5/25
477,300597,吉大通信,'300597,2017/1/23
478,600090,  同济堂,'600090,  1997-06-16
479,2510,天汽模,'002510,2010/11/25
480,600469,  风神股份,'600469,  2003-10-21
481,600212,  江泉实业,'600212,  1999-08-17
482,603198,  迎驾贡酒,'603198,  2015-05-28
483,603128,  华贸物流,'603128,  2012-05-29
484,300766,每日互动,'300766,2019/3/25
485,603017,  中衡设计,'603017,  2014-12-31
486,603650,  彤程新材,'603650,  2018-06-27
487,300525,博思软件,'300525,2016/7/26
488,2196,方正电机,'002196,2007/12/12
489,603868,  飞科电器,'603868,  2016-04-18
490,600884,  杉杉股份,'600884,  1996-01-30
491,430,张家界,'000430,1996/8/29
492,601939,  建设银行,'601939,  2007-09-25
493,300421,力星股份,'300421,2015/2/17
494,755,山西路桥,'000755,1997/6/27
495,971,*ST高升,'000971,2000/4/27
496,300111,向日葵,'300111,2010/8/27
497,2432,九安医疗,'002432,2010/6/10
498,603713,  密尔克卫,'603713,  2018-07-13
499,603003,  龙宇燃油,'603003,  2012-08-17
500,601000,  唐山港,'601000,  2010-07-05
501,2494,华斯股份,'002494,2010/11/2
502,300034,钢研高纳,'300034,2009/12/25
503,300780,德恩精工,'300780,2019/5/31
504,601788,  光大证券,'601788,  2009-08-18
505,2687,乔治白,'002687,2012/7/13
506,958,东方能源,'000958,1999/12/23
507,300402,宝色股份,'300402,2014/10/10
508,536,华映科技,'000536,1993/11/26
509,2567,唐人神,'002567,2011/3/25
510,300128,锦富技术,'300128,2010/10/13
511,300277,海联讯,'300277,2011/11/23
512,300656,民德电子,'300656,2017/5/19
513,300269,联建光电,'300269,2011/10/12
514,600622,  光大嘉宝,'600622,  1992-12-03
515,300119,瑞普生物,'300119,2010/9/17
516,600687,  *ST刚泰,'600687,  1993-11-08
517,2092,中泰化学,'002092,2006/12/8
518,973,佛塑科技,'000973,2000/5/25
519,300645,正元智慧,'300645,2017/4/21
520,600727,  鲁北化工,'600727,  1996-07-02
521,2919,名臣健康,'002919,2017/12/18
522,600870,  ST厦华,'600870,  1995-02-28
523,600596,  新安股份,'600596,  2001-09-06
524,600438,  通威股份,'600438,  2004-03-02
525,518,四环生物,'000518,1993/9/8
526,600415,  小商品城,'600415,  2002-05-09
527,600679,  上海凤凰,'600679,  1993-10-08
528,600796,  钱江生化,'600796,  1997-04-08
529,600501,  航天晨光,'600501,  2001-06-15
530,603916,  苏博特,'603916,  2017-11-10
531,300612,宣亚国际,'300612,2017/2/15
532,603365,  水星家纺,'603365,  2017-11-20
533,300377,赢时胜,'300377,2014/1/27
534,603630,  拉芳家化,'603630,  2017-03-13
535,300131,英唐智控,'300131,2010/10/19
536,603588,  高能环境,'603588,  2014-12-29
537,600624,  复旦复华,'600624,  1993-01-05
538,600123,  兰花科创,'600123,  1998-12-17
539,603585,  苏利股份,'603585,  2016-12-14
540,300365,恒华科技,'300365,2014/1/23
541,2042,华孚时尚,'002042,2005/4/27
542,600704,  物产中大,'600704,  1996-06-06
543,735,罗 牛 山,'000735,1997/6/11
544,300717,华信新材,'300717,2017/11/6
545,300659,中孚信息,'300659,2017/5/26
546,2318,久立特材,'002318,2009/12/11
547,603976,  正川股份,'603976,  2017-08-22
548,62,深圳华强,'000062,1997/1/30
549,603208,  江山欧派,'603208,  2017-02-10
550,2174,游族网络,'002174,2007/9/25
551,300132,青松股份,'300132,2010/10/26
552,408,藏格控股,'000408,1996/6/28
553,2772,众兴菌业,'002772,2015/6/26
554,300190,维尔利,'300190,2011/3/16
555,300024,机器人,'300024,2009/10/30
556,600521,  华海药业,'600521,  2003-03-04
557,300340,科恒股份,'300340,2012/7/26
558,600149,  ST坊展,'600149,  1999-10-14
559,603043,  广州酒家,'603043,  2017-06-27
560,26,飞亚达Ａ,'000026,1993/6/3
561,2519,银河电子,'002519,2010/12/7
562,600528,  中铁工业,'600528,  2001-05-28
563,600439,  瑞贝卡,'600439,  2003-07-10
564,2552,宝鼎科技,'002552,2011/2/25
565,995,*ST皇台,'000995,2000/8/7
566,600731,  湖南海利,'600731,  1996-08-02
567,2425,凯撒文化,'002425,2010/6/8
568,603920,  世运电路,'603920,  2017-04-26
569,603557,  起步股份,'603557,  2017-08-18
570,600309,  万华化学,'600309,  2000-01-05
571,300334,津膜科技,'300334,2012/7/5
572,600603,  广汇物流,'600603,  1992-01-13
573,603429,  集友股份,'603429,  2017-01-24
574,300315,掌趣科技,'300315,2012/5/11
575,600050,  中国联通,'600050,  2002-10-09
576,2520,日发精机,'002520,2010/12/10
577,600795,  国电电力,'600795,  1997-03-18
578,300526,中潜股份,'300526,2016/8/2
579,603871,  嘉友国际,'603871,  2018-02-06
580,300275,梅安森,'300275,2011/11/2
581,300670,大烨智能,'300670,2017/7/3
582,768,中航飞机,'000768,1997/6/26
583,2119,康强电子,'002119,2007/3/2
584,600081,  东风科技,'600081,  1997-07-03
585,300344,太空智造,'300344,2012/8/1
586,782,美达股份,'000782,1997/6/19
587,600403,  大有能源,'600403,  2003-10-09
588,300555,路通视信,'300555,2016/10/18
589,600108,  亚盛集团,'600108,  1997-08-18
590,600981,  汇鸿集团,'600981,  2004-06-30
591,600099,  林海股份,'600099,  1997-07-04
592,600736,  苏州高新,'600736,  1996-08-15
593,2188,*ST巴士,'002188,2007/11/22
594,600857,  宁波中百,'600857,  1994-04-25
595,603169,  兰石重装,'603169,  2014-10-09
596,615,京汉股份,'000615,1996/10/16
597,761,本钢板材,'000761,1998/1/15
598,600617,  国新能源,'600617,  1992-10-13
599,2522,浙江众成,'002522,2010/12/10
600,300559,佳发教育,'300559,2016/11/1
601,600540,  新赛股份,'600540,  2004-01-07
602,546,金圆股份,'000546,1993/12/15
603,603603,  博天环境,'603603,  2017-02-17
604,600749,  西藏旅游,'600749,  1996-10-15
605,2960,青鸟消防,'002960,2019/8/9
606,2314,南山控股,'002314,2009/12/3
607,622,恒立实业,'000622,1996/11/7
608,300610,晨化股份,'300610,2017/2/13
609,600159,  大龙地产,'600159,  1998-05-26
610,166,申万宏源,'000166,2015/1/26
611,601808,  中海油服,'601808,  2007-09-28
612,300065,海兰信,'300065,2010/3/26
613,603637,  镇海股份,'603637,  2017-02-08
614,600566,  济川药业,'600566,  2001-08-22
615,501,鄂武商Ａ,'000501,1992/11/20
